Time,q,qdot,pelv_gyro_x,pelv_gyro_y,pelv_gyro_z,pelv_acc_x,pelv_acc_y,pelv_acc_z,leg_gyro_x,leg_gyro_y,leg_gyro_z,leg_acc_x,leg_acc_y,leg_acc_z,Label
379,0.500079,7.30469,-0.0361937,0.65424,-0.342974,-1.0323,8.7383,-1.12856,-0.1005,2.06679,-1.44762,1.23121,8.85631,-5.24591,29
389,0.576011,10.1797,0.0348528,0.684457,-0.349489,-1.82803,10.0101,-1.32458,0.13704,1.91773,-1.4032,1.65039,10.2047,-4.65387,29
399,0.652327,7.78125,0.0725579,0.644674,-0.356838,-2.5731,10.8418,-1.50148,0.368273,1.60541,-1.33466,1.20635,11.2218,-3.71535,30
409,0.732861,8.92188,0.0872966,0.534406,-0.359467,-3.20294,11.0812,-1.61135,0.499721,1.1538,-1.26135,0.562303,11.6143,-2.77866,31
419,0.814929,9.82812,0.0872966,0.534406,-0.359467,-3.20294,11.0812,-1.61135,0.499721,1.1538,-1.26135,0.562303,11.6143,-2.77866,32
429,0.901599,6.67188,0.0956509,0.378636,-0.348922,-3.57708,10.7181,-1.66198,0.503014,0.687101,-1.19324,0.0490594,11.317,-2.06628,33
439,0.987119,8.17969,0.107734,0.212088,-0.322367,-3.59596,9.97521,-1.58306,0.433256,0.318787,-1.1323,-0.045484,10.49,-1.61268,34
449,1.07494,9.23438,0.123641,0.0615297,-0.28188,-3.26395,9.0591,-1.35898,0.349955,0.0651582,-1.09242,0.131036,9.40697,-1.37994,35
462,1.16391,11.0234,0.142183,-0.0617197,-0.232376,-2.7329,8.17268,-1.06844,0.277373,-0.0970131,-1.07274,0.367945,8.39603,-1.40244,36
469,1.25518,9.01562,0.163656,-0.156779,-0.181687,-2.14422,7.55781,-0.85891,0.229646,-0.202963,-1.04869,0.829568,7.71711,-1.50609,37
479,1.3453,8.72656,0.186236,-0.224142,-0.13863,-1.55452,7.32832,-0.818733,0.221063,-0.29764,-1.02177,1.61101,7.44174,-1.55754,38
489,1.43964,8.46094,0.186236,-0.224142,-0.13863,-1.55452,7.32832,-0.818733,0.221063,-0.29764,-1.02177,1.61101,7.44174,-1.55754,38
499,1.52938,11.0234,0.20734,-0.266273,-0.107153,-1.02963,7.44491,-0.893857,0.24359,-0.395901,-1.00403,2.35321,7.48671,-1.62987,39
509,1.62104,7.96094,0.223525,-0.287411,-0.0876803,-0.649218,7.7759,-0.952438,0.30874,-0.510424,-0.990461,2.40211,7.6904,-1.77555,40
519,1.71384,11.2734,0.232665,-0.294404,-0.081312,-0.373638,8.07316,-0.967815,0.426939,-0.667651,-0.955718,1.72681,7.92338,-2.0649,41
529,1.80972,10.1172,0.235964,-0.297338,-0.0861424,-0.133691,8.27273,-0.975189,0.538155,-0.814867,-0.901918,0.999247,8.17528,-2.34652,42
539,1.90214,12.1172,0.233947,-0.300132,-0.104753,0.0253593,8.47966,-0.965378,0.587514,-0.921302,-0.873704,0.542883,8.44551,-2.50196,43
549,1.99878,7.49219,0.225878,-0.300722,-0.139534,0.126554,8.66753,-0.999488,0.579992,-1.01866,-0.893214,0.284929,8.67251,-2.48859,44
560,2.09772,9.72656,0.210351,-0.297987,-0.186174,0.252142,8.80561,-1.06486,0.531329,-1.09226,-0.966111,0.122249,8.77844,-2.29337,45
569,2.19552,8,0.210351,-0.297987,-0.186174,0.252142,8.80561,-1.06486,0.531329,-1.09226,-0.966111,0.122249,8.77844,-2.29337,46
579,2.29676,10.8906,0.18577,-0.292541,-0.239935,0.455009,8.88523,-1.05801,0.469708,-1.15322,-1.07432,0.0610507,8.81077,-2.03252,46
589,2.39608,11.1641,0.150541,-0.28501,-0.294909,0.734369,8.91533,-0.940761,0.420642,-1.23804,-1.18251,0.246344,8.90492,-1.5206,47
599,2.50001,12.1641,0.103715,-0.274014,-0.350309,0.93302,8.92434,-0.757027,0.363386,-1.31084,-1.27894,0.442674,9.02995,-0.967771,48
609,2.60317,10.4609,0.050222,-0.262549,-0.403545,0.969816,8.84678,-0.673521,0.271663,-1.30745,-1.36017,0.543563,9.10339,-0.854665,49
619,2.71055,10.3906,-0.00316522,-0.258631,-0.438728,0.917352,8.71532,-0.691522,0.169098,-1.21349,-1.42334,0.991494,9.0766,-0.977418,50
629,2.82138,11.5703,-0.055126,-0.267225,-0.445552,0.717514,8.70268,-0.589573,0.0906394,-1.05061,-1.46223,1.86983,8.96233,-1.11236,51
639,2.92838,13.5547,-0.055126,-0.267225,-0.445552,0.717514,8.70268,-0.589573,0.0906394,-1.05061,-1.46223,1.86983,8.96233,-1.11236,52
649,3.03691,9.27344,-0.102669,-0.294286,-0.422859,0.331195,8.78451,-0.411784,0.0411629,-0.868359,-1.45744,2.8249,8.89179,-1.39575,53
659,3.13892,11.0312,-0.136388,-0.346059,-0.363133,-0.0705504,8.87369,-0.418744,0.0112302,-0.730548,-1.39796,3.81313,8.92514,-1.73542,54
669,3.23671,9.53906,-0.150951,-0.414455,-0.266122,-0.400754,9.07777,-0.584292,-0.00807635,-0.653075,-1.29303,4.715,9.03755,-1.96139,54
679,3.33105,9.77344,-0.148008,-0.481549,-0.149536,-0.679566,9.39393,-0.721465,-0.0224694,-0.589751,-1.15671,5.2364,9.20273,-2.20803,55
689,3.41312,9.82031,-0.129877,-0.536402,-0.0300575,-0.790043,9.66927,-0.82293,-0.0305732,-0.501507,-1.00468,5.56832,9.3424,-2.44871,56
699,3.49173,6.92969,-0.102246,-0.570555,0.0807822,-0.649259,9.90359,-0.851263,-0.0315935,-0.424961,-0.845664,5.7024,9.46429,-2.64028,57
709,3.55999,6.67188,-0.0721442,-0.57931,0.175548,-0.286444,10.1491,-0.808499,-0.0290549,-0.405551,-0.682356,5.5527,9.64127,-2.80611,58
719,3.62365,6.1875,-0.0450109,-0.562546,0.254861,0.267347,10.3665,-0.81654,-0.0238358,-0.413157,-0.523837,5.40137,9.85507,-2.77776,59
729,3.68655,6.14844,-0.0275295,-0.520601,0.321762,0.891921,10.5379,-0.885485,-0.0171211,-0.388073,-0.380346,5.16886,10.1078,-2.61221,60
739,3.73717,3.01562,-0.0275295,-0.520601,0.321762,0.891921,10.5379,-0.885485,-0.0171211,-0.388073,-0.380346,5.16886,10.1078,-2.61221,61
749,3.78357,5.73438,-0.0216162,-0.465811,0.380848,1.3305,10.7384,-0.963218,-0.0132723,-0.318185,-0.254175,4.86813,10.4257,-2.46562,62
759,3.82461,3.96094,-0.0188473,-0.411785,0.434173,1.34368,11.1065,-0.942455,-0.0163633,-0.221193,-0.134759,4.53927,10.8523,-2.52243,63
769,3.84493,2.21094,-0.00182988,-0.363816,0.487889,1.00504,11.6732,-0.815611,-0.0260326,-0.126063,-0.00756528,4.17943,11.3949,-2.80719,63
779,3.8434,0.0234375,0.0437807,-0.321936,0.546649,0.546426,12.2215,-0.824626,-0.0488937,-0.0830447,0.147161,4.24985,11.9567,-2.945,64
789,3.83458,-2.69531,0.123641,-0.275931,0.601315,0.0209784,12.5702,-1.09185,-0.107969,-0.0856294,0.351383,4.55062,12.5246,-2.75718,65
799,3.80275,-4.89844,0.24349,-0.214421,0.649553,-0.71828,12.9574,-1.20797,-0.219564,-0.108723,0.600864,4.68306,13.1551,-2.35957,66
809,3.74446,-8.07812,0.400111,-0.13353,0.705677,-1.62378,13.4873,-0.873797,-0.371717,-0.193223,0.88196,5.14931,13.6614,-1.72015,67
819,3.65587,-12.3047,0.400111,-0.13353,0.705677,-1.62378,13.4873,-0.873797,-0.371717,-0.193223,0.88196,5.14931,13.6614,-1.72015,68
829,3.56191,-10.5078,0.558419,-0.0269662,0.774484,-2.24334,13.6721,-0.586128,-0.539847,-0.335929,1.19998,5.84375,13.8176,-0.801501,69
839,3.45722,-12.0625,0.659655,0.10973,0.842022,-2.41194,13.3585,-0.621526,-0.700061,-0.412949,1.52901,5.88868,13.6756,0.23142,70
849,3.34984,-12.0938,0.668145,0.256438,0.900231,-2.43424,12.8614,-0.661504,-0.835698,-0.344948,1.81501,4.96791,13.4378,1.22574,71
859,3.24323,-10.1484,0.590467,0.377392,0.953263,-2.5381,12.3446,-0.571263,-0.941649,-0.187573,2.03443,3.27064,13.2575,2.0035,71
869,3.137,-11.9062,0.446798,0.441794,1.00215,-2.70007,11.9294,-0.328526,-1.0083,-0.00812381,2.17604,0.986713,13.0907,2.28294,72
879,3.02693,-10.4062,0.258861,0.428027,1.02987,-2.87795,11.6272,0.0212561,-1.02548,0.125881,2.23798,-1.51809,12.8483,1.70186,73
889,2.9092,-11.8516,0.0654781,0.333211,1.02089,-2.97814,11.2618,0.190046,-0.989491,0.160329,2.24287,-3.33271,12.3874,0.0430454,74
900,2.79147,-13.4453,0.0654781,0.333211,1.02089,-2.97814,11.2618,0.190046,-0.989491,0.160329,2.24287,-3.33271,12.3874,0.0430454,75
909,2.66722,-14.1875,-0.0900616,0.182026,0.982981,-2.83693,10.8185,0.0364293,-0.882917,0.126501,2.2117,-3.68428,11.5669,-2.29203,76
919,2.54488,-13.1484,-0.186169,0.0191849,0.927149,-2.53644,10.4732,-0.129929,-0.685894,0.0875016,2.15942,-2.8854,10.6524,-4.42244,77
929,2.41296,-13.8984,-0.213496,-0.112619,0.858302,-2.19946,10.2757,-0.0888984,-0.4222,0.0445235,2.10797,-1.89601,10.097,-5.56605,78
939,2.27797,-13.6875,-0.172325,-0.189622,0.778602,-1.71945,10.1159,-0.125021,-0.160588,-0.0330139,2.07197,-1.21531,10.0445,-5.43263,79
949,2.14298,-16.8516,-0.0889123,-0.209178,0.690285,-0.992671,9.97332,-0.401625,0.0431742,-0.116595,2.04427,-0.680732,10.3637,-4.27958,79
959,2.00032,-13.9922,-0.00477248,-0.182803,0.601391,-0.101772,9.93184,-0.735969,0.172633,-0.172075,2.01053,-0.0120261,10.7702,-2.5924,80
969,1.86916,-15.1641,0.0431697,-0.126664,0.515717,0.716466,9.9496,-0.978867,0.231959,-0.182877,1.96241,0.690456,10.9527,-0.90477,81
979,1.73532,-17.2344,0.0431697,-0.126664,0.515717,0.716466,9.9496,-0.978867,0.231959,-0.182877,1.96241,0.690456,10.9527,-0.90477,82
989,1.60301,-12.5234,0.0361014,-0.0586016,0.43177,1.22969,9.90949,-1.04938,0.241231,-0.124599,1.89292,1.14866,10.8075,0.340156,83
999,1.47032,-11.6562,-0.0196822,0.00727885,0.35075,1.41162,9.75006,-0.95611,0.201761,-0.0234133,1.80153,1.39581,10.3321,1.05854,84
1009,1.34185,-15.3203,-0.108914,0.0663547,0.266906,1.31927,9.45869,-0.661312,0.117375,0.0750578,1.68219,1.39639,9.57781,1.35989,85
1019,1.21722,-14.4609,-0.215675,0.115714,0.174414,1.00672,9.05277,-0.117329,0.0344222,0.140788,1.51352,1.04345,8.75563,1.29294,86
1029,1.0968,-11.1641,-0.316799,0.15212,0.080686,0.688882,8.53277,0.410058,-0.03192,0.15581,1.30008,0.613786,8.04816,0.949409,87
1039,0.975614,-12.4688,-0.392049,0.179181,-0.00483384,0.601773,7.89819,0.610568,-0.0952266,0.139627,1.08449,0.40654,7.47448,0.488805,88
1049,0.861716,-11.9375,-0.433358,0.206863,-0.0771555,0.761947,7.24187,0.513736,-0.131903,0.131987,0.937563,0.466925,6.96889,0.0355314,88
1059,0.751652,-12.6719,-0.433358,0.206863,-0.0771555,0.761947,7.24187,0.513736,-0.131903,0.131987,0.937563,0.466925,6.96889,0.0355314,89
1070,0.644273,-9.21875,-0.443381,0.241138,-0.137412,0.943272,6.72025,0.431486,-0.114574,0.158991,0.896122,0.490125,6.5096,-0.301878,90
1079,0.538429,-12.4297,-0.428797,0.278825,-0.194556,0.941586,6.37779,0.586347,-0.0554414,0.218739,0.900599,0.134772,6.13055,-0.533861,91
1089,0.441788,-9.64844,-0.39264,0.313199,-0.256134,0.829023,6.12885,0.856277,0.011175,0.280799,0.884314,-0.467922,5.87457,-0.731033,92
1099,0.348598,-8.05469,-0.335127,0.336319,-0.318521,0.7898,5.93897,0.967501,0.0682987,0.323024,0.823662,-1.00412,5.76826,-0.758097,93
1109,0.262311,-9.64844,-0.261516,0.342992,-0.37912,0.800102,5.84238,0.884696,0.122879,0.354601,0.710929,-1.50344,5.76555,-0.608255,94
1119,0.179476,-8.99219,-0.183228,0.330821,-0.448612,0.712048,5.81605,0.807451,0.162616,0.366379,0.560275,-2.10634,5.78583,-0.507058,95
1129,0.105078,-7.42969,-0.183228,0.330821,-0.448612,0.712048,5.81605,0.807451,0.162616,0.366379,0.560275,-2.10634,5.78583,-0.507058,96
1139,0.0371991,-6.50781,-0.107461,0.297349,-0.536367,0.536385,5.82922,0.757521,0.175871,0.337902,0.388601,-2.55797,5.80581,-0.458767,96
1149,-0.0222428,-4.09375,-0.0369758,0.246626,-0.63791,0.365857,5.92215,0.682847,0.18239,0.280765,0.201638,-2.58825,5.90469,-0.351486,97
1159,-0.0625099,-5.07031,0.0249385,0.188673,-0.740573,0.253409,6.18675,0.577612,0.186986,0.215801,0.00823938,-2.28502,6.20843,-0.271516,98
1169,-0.0755487,-0.148438,0.0784806,0.131968,-0.827754,0.231705,6.70421,0.343373,0.180569,0.150862,-0.183705,-1.8382,6.7147,-0.334664,99
1179,-0.0743982,-1.10938,0.12849,0.0802485,-0.874029,0.280435,7.44498,0.0572185,0.16467,0.0817341,-0.377775,-1.30626,7.21715,-0.454524,0
1189,-0.0720973,0.328125,0.174908,0.0363818,-0.868284,0.359213,8.14344,-0.0675829,0.143232,0.00687212,-0.577741,-0.748439,7.48938,-0.605837,1
1199,-0.0682623,0.679688,0.214994,-0.000279884,-0.828047,0.488031,8.51577,-0.0326475,0.143232,0.00687212,-0.577741,-0.748439,7.48938,-0.605837,2
1209,-0.0625099,-0.0859375,0.214994,-0.000279884,-0.828047,0.488031,8.51577,-0.0326475,0.115676,-0.056754,-0.768434,-0.0628576,7.51046,-0.91624,3
1219,-0.0575244,0.40625,0.256155,-0.0341498,-0.772072,0.692289,8.54027,0.0273058,0.0811578,-0.0871605,-0.911108,1.58409,7.39847,-1.34659,3
1229,-0.054073,0.03125,0.300368,-0.0548525,-0.714979,0.858295,8.53105,0.234549,0.058157,-0.0571937,-0.966876,4.58641,7.33593,-1.88213,4
1239,-0.052539,-0.0078125,0.342053,-0.049705,-0.657865,0.839354,9.03791,0.695906,0.0852197,-0.00552824,-0.91493,7.94554,7.6189,-2.48302,5
1249,-0.053306,-0.617188,0.383042,-0.0219924,-0.576772,0.714517,10.2037,1.03227,0.186849,-0.0730547,-0.748885,10.7969,8.35117,-2.81434,6
1259,-0.0544564,-0.617188,0.41066,0.0244266,-0.456587,0.667747,11.6449,0.959521,0.340414,-0.24551,-0.495918,12.9008,9.29687,-2.63502,7
1269,-0.0586749,-0.140625,0.397654,0.0850147,-0.312979,0.789222,12.8576,0.584869,0.493979,-0.327123,-0.210699,14.1199,10.0593,-2.15935,8
1279,-0.0659613,-0.132812,0.337174,0.144549,-0.163742,1.06708,13.5601,0.0838359,0.609173,-0.270057,0.057662,14.1804,10.4081,-1.67298,9
