"q","lin_acc_x","lin_acc_y","lin_acc_z","ang_vel_x","ang_vel_y","ang_vel_z","Label"
"-0.423732","-2.310881","0.155414","-11.528215","-0.286946","-0.080226","-0.235227","32"
"-0.422966","-2.692327","-0.044432","-11.423097","-0.250688","-0.14212","-0.265501","33"
"-0.420284","-3.093752","-0.027838","-11.177365","-0.248115","-0.193984","-0.31574","34"
"-0.416453","-3.484934","-0.067151","-10.8512","-0.229057","-0.214345","-0.37463","34"
"-0.411855","-3.847433","-0.35994","-10.649349","-0.209585","-0.212309","-0.439631","35"
"-0.405342","-3.670798","-0.755084","-10.722662","-0.218718","-0.188961","-0.52894","36"
"-0.40266","-3.355744","-0.471605","-11.260466","-0.266274","-0.133179","-0.64391","36"
"-0.396913","-2.37149","0.222785","-12.09674","-0.296643","-0.059272","-0.757429","37"
"-0.394615","-1.191748","0.549905","-12.895523","-0.244531","-0.024765","-0.863146","38"
"-0.396147","0.494381","0.888066","-14.284245","-0.224366","0.136459","-0.918029","38"
"-0.399212","2.709057","1.526811","-15.404614","-0.063126","0.209549","-0.903946","39"
"-0.399595","4.764368","2.168746","-15.828655","0.190039","0.211164","-0.793115","40"
"-0.39653","6.46039","1.581613","-14.98045","0.457529","0.145928","-0.627158","40"
"-0.389634","6.709373","0.550075","-13.044204","0.603843","0.026374","-0.444622","41"
"-0.379673","5.502043","-0.583036","-10.339482","0.528417","-0.287607","-0.290917","42"
"-0.366264","3.492742","-1.504626","-7.270251","0.219893","-0.545698","-0.157773","42"
"-0.358601","1.866655","-1.048508","-5.412505","-0.152056","-0.535503","-0.064231","43"
"-0.34366","1.618181","-1.285595","-5.147695","-0.292422","-0.306571","-0.020105","44"
"-0.329484","1.675425","-0.521787","-5.834602","-0.446493","-0.274317","0.002147","44"
"-0.313393","2.180534","0.669443","-7.124157","-0.517706","-0.16939","-0.023508","45"
"-0.296919","2.180624","1.212928","-8.172527","-0.503803","-0.158998","-0.069701","46"
"-0.281977","1.906272","1.538857","-9.228084","-0.541784","-0.14939","-0.073354","46"
"-0.273932","1.781763","1.990827","-10.082115","-0.514648","-0.122459","-0.056824","47"
"-0.258607","1.787412","2.159889","-10.938535","-0.44361","-0.094722","-0.020545","48"
"-0.243282","1.884933","2.433186","-11.426662","-0.383037","-0.115877","0.028522","48"
"-0.229873","1.291047","2.390712","-11.35145","-0.283187","-0.090294","0.097718","49"
"-0.214165","0.99189","2.219556","-11.225792","-0.192984","-0.023891","0.181859","50"
"-0.206885","1.155079","1.875583","-10.664505","-0.108209","0.027782","0.257189","50"
"-0.191944","1.339351","1.366218","-10.044314","-0.069337","0.073297","0.319419","51"
"-0.177002","1.374182","1.213912","-9.260511","-0.041515","0.040629","0.365748","52"
"-0.161677","1.457752","0.616884","-8.745774","-0.061236","0.065809","0.407656","52"
"-0.147118","1.447701","0.422263","-8.465901","-0.066455","0.05045","0.442131","53"
"-0.140989","1.132576","0.279649","-8.19218","-0.091993","0.03557","0.462531","54"
"-0.128729","0.861679","0.401369","-8.031056","-0.108385","0.05145","0.47354","54"
"-0.116469","0.548447","0.453841","-7.894402","-0.113629","0.056594","0.47526","55"
"-0.106125","0.255298","0.543612","-7.812258","-0.126895","0.071728","0.470465","56"
"-0.09578","0.008958","0.76735","-7.84878","-0.132482","0.090387","0.448994","56"
"-0.091566","-0.289531","0.942213","-7.927531","-0.131729","0.100907","0.413015","57"
"-0.085053","-0.508417","1.049903","-8.084203","-0.129546","0.129116","0.363647","58"
"-0.079689","-0.482992","1.076588","-8.393291","-0.132478","0.170091","0.301311","58"
"-0.075092","-0.492068","1.268714","-8.686533","-0.135986","0.179698","0.237222","59"
"-0.07241","-0.501572","1.215592","-9.191732","-0.125212","0.210567","0.176188","60"
"-0.071644","-0.574683","1.392807","-9.607499","-0.134375","0.231079","0.128443","60"
"-0.070111","-0.588649","1.567783","-10.025382","-0.118676","0.253527","0.093894","61"
"-0.067429","-0.593478","1.800336","-10.290658","-0.105034","0.2672","0.073467","62"
"-0.063981","-0.692128","1.972845","-10.364646","-0.078395","0.252577","0.056072","62"
"-0.060916","-0.700177","2.12179","-10.41059","-0.057978","0.247404","0.044414","63"
"-0.059384","-0.675354","2.141032","-10.256247","-0.018829","0.223872","0.026682","64"
"-0.053637","-0.610235","2.000549","-10.0853","0.01481","0.195206","0.00975","64"
"-0.048656","-0.545355","1.661891","-9.767967","0.043526","0.170959","-0.007283","65"
"-0.044442","-0.458293","1.39493","-9.601789","0.051821","0.156877","-0.024166","66"
"-0.038695","-0.313879","1.12849","-9.491781","0.052021","0.140327","-0.036365","66"
"-0.034864","-0.135239","0.867244","-9.473979","0.042164","0.115948","-0.032986","67"
"-0.032182","0.002471","0.846972","-9.488571","0.032606","0.095821","-0.018049","68"
"-0.026052","0.017511","0.918282","-9.470426","0.031161","0.062148","0.011149","68"
"-0.021455","0.094851","0.987769","-9.49537","0.026165","0.034559","0.056455","69"
"-0.015708","0.177433","1.001449","-9.519183","0.035025","0.015599","0.112211","70"
"-0.01226","0.256373","1.057656","-9.502556","0.042271","-0.003105","0.181774","70"
"-0.009961","0.343141","1.199103","-9.413988","0.06168","0.001245","0.249711","71"
"-0.009195","0.372404","1.095744","-9.320146","0.086932","0.016114","0.314018","72"
"-0.007662","0.493437","1.322268","-9.106291","0.089687","0.044936","0.382135","72"
"-0.007279","0.342682","1.381145","-8.963635","0.118553","0.061945","0.44525","73"
"-0.007279","0.417526","1.280889","-8.881079","0.119446","0.090446","0.507084","74"
"-0.006896","0.431726","1.295131","-9.079491","0.124494","0.096753","0.56726","74"
"-0.005747","0.275991","1.299645","-9.453092","0.107916","0.076972","0.615675","75"
"-0.004597","0.246871","1.521537","-9.862286","0.104325","0.037885","0.641779","76"
"-0.002682","0.014588","1.580298","-10.390483","0.119139","-0.01984","0.650314","77"
"-0.000383","-0.319203","1.901753","-10.625145","0.117418","-0.078932","0.648794","77"
"0.001532","-0.514261","2.354681","-10.767154","0.145984","-0.126441","0.61903","78"
"0.003065","-0.817087","2.44711","-10.550124","0.185209","-0.145451","0.588041","79"
"0.003831","-1.078523","2.528699","-10.265154","0.229442","-0.164958","0.56426","79"
"0.004597","-1.147861","2.324974","-9.95848","0.288383","-0.152032","0.54914","80"
"0.004597","-1.134717","2.292057","-9.630549","0.312333","-0.117113","0.565658","81"
"0.004597","-0.966163","2.155439","-9.464717","0.353671","-0.097383","0.599556","81"
"0.004597","-0.859854","2.017437","-9.352892","0.369943","-0.085248","0.664389","82"
"0.004597","-0.747602","2.007401","-9.266182","0.391046","-0.094437","0.766766","83"
"0.004981","-0.772407","2.123726","-9.241713","0.42137","-0.127936","0.883684","83"
"0.006513","-0.827838","1.66165","-9.463145","0.46812","-0.165277","1.004473","84"
"0.008046","-0.899493","1.518317","-9.755967","0.470378","-0.216577","1.103086","85"
"0.009578","-1.060935","1.138304","-10.163707","0.484554","-0.294972","1.137037","85"
"0.009578","-1.135572","0.71872","-10.624545","0.412528","-0.331994","1.100688","86"
"0.006513","-1.247131","0.246668","-10.95168","0.341517","-0.381441","0.97003","87"
"0.004214","-2.049932","-0.027883","-11.217926","0.193553","-0.417716","0.761491","87"
"-0.001149","-2.64118","-0.323346","-11.44939","0.052368","-0.382092","0.49859","88"
"-0.009961","-3.410478","0.47167","-11.660184","-0.1397","-0.306758","0.22039","89"
"-0.01724","-3.32116","1.674553","-12.03557","-0.211724","-0.175952","-0.06039","89"
"-0.025286","-2.637467","2.466391","-12.322085","-0.157893","-0.177818","-0.303977","90"
"-0.034481","-2.232537","2.906266","-12.174782","-0.018281","-0.183183","-0.509136","91"
"-0.037163","-1.508281","2.722911","-11.949593","0.18719","-0.160483","-0.680875","91"
"-0.044825","-0.461154","2.055261","-11.504902","0.350491","-0.111131","-0.785581","92"
"-0.051721","0.863148","1.33285","-11.169776","0.598418","-0.010571","-0.839027","93"
"-0.061299","1.957187","0.020587","-10.577768","0.705241","-0.101861","-0.873252","93"
"-0.071261","3.010276","-1.253863","-10.428381","0.720884","-0.047633","-0.822501","94"
"-0.083904","3.821096","-2.417184","-10.154519","0.763953","0.013538","-0.733282","95"
"-0.089267","4.539032","-3.038415","-9.796381","0.543805","-0.096974","-0.612615","95"
"-0.104975","4.637485","-3.454987","-9.412701","0.416658","-0.198943","-0.44994","96"
"-0.121066","4.444262","-3.402187","-9.146024","0.270586","-0.191118","-0.282673","97"
"-0.13869","4.372409","-3.33016","-9.082647","0.186606","-0.162593","-0.111698","97"
"-0.158229","3.902094","-2.998893","-9.141989","0.06574","-0.178911","0.038269","98"
