"q","lin_acc_x","lin_acc_y","lin_acc_z","ang_vel_x","ang_vel_y","ang_vel_z","Label"
"-0.246347","2.121796","1.758338","-9.966363","-0.179244","0.385071","-0.147991","53"
"-0.239451","2.087893","1.451872","-9.996728","-0.12446","0.394522","-0.076999","54"
"-0.235236","2.412627","1.01935","-9.81986","-0.102485","0.465498","0.008509","54"
"-0.229106","2.482512","0.859872","-9.471175","-0.08112","0.416677","0.114498","55"
"-0.220295","2.844863","0.541898","-9.249028","-0.128296","0.416279","0.223976","56"
"-0.2111","2.542215","0.668756","-9.121254","-0.134023","0.347676","0.325471","57"
"-0.203054","3.09897","0.251236","-9.109385","-0.155869","0.308386","0.403556","57"
"-0.197307","2.552801","0.603511","-8.916504","-0.177233","0.185814","0.494875","58"
"-0.188112","2.077427","0.42795","-8.758698","-0.22732","0.098965","0.545273","59"
"-0.18045","1.732706","0.571361","-8.881716","-0.235661","0.049524","0.576591","60"
"-0.170489","1.255749","0.599243","-8.911685","-0.266656","-0.035922","0.585333","60"
"-0.161677","0.656921","0.87073","-9.006729","-0.282226","-0.069396","0.590189","61"
"-0.155164","0.042292","1.225647","-9.087857","-0.278331","-0.087249","0.576092","62"
"-0.147118","-0.418253","1.564729","-9.106743","-0.270964","-0.104632","0.544076","63"
"-0.144437","-1.054364","1.818752","-9.067677","-0.236003","-0.087625","0.487853","63"
"-0.139073","-1.682441","1.949614","-9.152892","-0.203402","-0.036621","0.412252","64"
"-0.134859","-2.071749","2.009458","-9.314688","-0.158921","0.034033","0.316419","65"
"-0.131027","-2.207616","2.131055","-9.439847","-0.131973","0.112541","0.211595","65"
"-0.127579","-2.207948","2.254468","-9.546398","-0.093702","0.171287","0.096511","66"
"-0.122216","-2.081197","2.322088","-9.682517","-0.063422","0.224844","-0.022837","67"
"-0.116086","-1.975178","2.180395","-9.738537","-0.040098","0.25792","-0.130347","68"
"-0.10919","-1.75497","2.233517","-9.758679","-0.029199","0.290142","-0.232909","68"
"-0.100378","-1.335009","2.288927","-9.836332","-0.01488","0.302962","-0.32831","69"
"-0.091949","-1.068694","2.349566","-9.840627","0.004413","0.307373","-0.401156","70"
"-0.087352","-0.679481","2.176012","-10.031214","0.027856","0.304054","-0.459407","71"
"-0.078923","-0.255564","2.133776","-10.016834","0.039854","0.291981","-0.496124","71"
"-0.070494","-0.03262","1.97148","-9.935642","0.070221","0.28741","-0.510548","72"
"-0.061682","0.367496","1.820487","-9.868847","0.082944","0.300813","-0.49501","73"
"-0.053637","0.70943","1.633767","-9.669609","0.109347","0.306702","-0.454521","74"
"-0.049806","0.946477","1.216941","-9.572495","0.133531","0.324014","-0.394015","74"
"-0.044059","1.1948","0.971953","-9.460637","0.151898","0.316065","-0.316228","75"
"-0.037546","1.368025","0.613303","-9.39968","0.137845","0.343547","-0.223013","76"
"-0.032565","1.529598","0.391271","-9.30364","0.121348","0.343691","-0.113757","76"
"-0.025669","1.699957","0.253606","-9.298852","0.118169","0.296279","-0.004185","77"
"-0.020689","1.712951","0.17959","-9.292908","0.110629","0.256045","0.109011","78"
"-0.016857","1.875761","0.230048","-9.459816","0.083246","0.227407","0.219935","79"
"-0.011494","1.856247","0.568703","-9.618291","0.075018","0.15265","0.323281","79"
"-0.004597","1.581508","0.850717","-9.852204","0.092907","0.079839","0.406555","80"
"0.001916","1.454422","1.289188","-10.091837","0.090294","0.015949","0.481287","81"
"0.008812","1.056427","1.401954","-10.324759","0.136599","-0.064939","0.531904","82"
"0.011494","0.620273","1.518516","-10.430143","0.153018","-0.124717","0.558833","82"
"0.016857","0.204892","1.710196","-10.524897","0.176532","-0.172985","0.563013","83"
"0.02337","-0.203375","1.773709","-10.526035","0.21685","-0.216592","0.554137","84"
"0.027202","-0.71845","1.920879","-10.308243","0.237339","-0.231024","0.546032","85"
"0.03065","-1.10272","1.947849","-10.124304","0.26679","-0.214319","0.539141","85"
"0.032182","-1.335474","1.545334","-9.905755","0.285233","-0.191367","0.538268","86"
"0.033332","-1.212732","1.440338","-9.848232","0.270856","-0.133442","0.544575","87"
"0.032565","-0.854997","1.255689","-10.009505","0.261849","-0.104572","0.548374","88"
"0.028734","-0.394123","1.048944","-10.497042","0.228397","-0.084381","0.546897","88"
"0.02452","0.000554","0.942155","-11.101274","0.159132","-0.085671","0.524627","89"
"0.021072","0.427441","0.83356","-11.89729","0.087402","-0.094468","0.46782","90"
"0.011877","0.653952","1.049969","-12.451089","0.021988","-0.140314","0.381862","90"
"0.001532","0.827229","1.297273","-12.897863","-0.040096","-0.210363","0.268939","91"
"-0.013026","0.797408","2.168851","-12.896676","-0.051704","-0.273063","0.13795","92"
"-0.029117","0.98403","2.956686","-12.540287","0.001457","-0.301915","0.015786","93"
"-0.037546","1.051937","3.037986","-11.810983","0.182059","-0.381723","-0.094012","93"
"-0.055936","1.103408","2.641968","-10.884621","0.378232","-0.413961","-0.169064","94"
"-0.073559","1.537065","1.822345","-10.128573","0.566513","-0.415347","-0.21971","95"
"-0.092332","1.767547","0.685971","-9.607684","0.74021","-0.468165","-0.251601","96"
"-0.111871","2.399303","-0.887009","-9.438941","0.82316","-0.41794","-0.240561","96"
"-0.131027","2.058199","-1.622741","-9.208607","0.819861","-0.411043","-0.225748","97"
"-0.139073","3.386237","-2.728114","-9.225417","0.831811","-0.383677","-0.218933","98"
"-0.158229","3.398523","-3.567548","-8.660675","0.622554","-0.415733","-0.159793","99"
"-0.178534","2.430645","-3.896736","-8.229002","0.425446","-0.441988","-0.090642","99"
"-0.197307","1.247217","-2.883756","-8.25995","0.214563","-0.314775","-0.021189","100"
"-0.218762","1.794127","-2.469436","-9.219991","0.09751","-0.168477","0.044703","1"
"-0.240217","1.69246","-2.019307","-9.518904","0.012614","-0.196435","0.133755","1"
"-0.251327","1.055752","-1.353938","-9.652246","-0.090243","-0.167197","0.195304","2"
"-0.271633","0.862266","-0.793212","-10.276327","-0.129878","-0.116723","0.235357","3"
"-0.291172","0.766185","-0.666728","-10.694865","-0.116871","-0.158917","0.226222","4"
"-0.301516","0.344309","-0.188072","-10.915088","-0.115134","-0.204675","0.193653","4"
"-0.317607","0.188943","0.265108","-10.931891","-0.068283","-0.261388","0.121052","5"
"-0.337147","-0.105202","0.549375","-10.702031","-0.004306","-0.319291","0.023975","6"
"-0.34864","-0.427327","0.510688","-10.388469","0.081731","-0.38675","-0.078772","7"
"-0.354004","-0.501542","0.1901","-10.073886","0.162519","-0.44619","-0.183687","7"
"-0.362433","-0.576093","-0.051222","-9.700989","0.200899","-0.505159","-0.286058","8"
"-0.369712","-0.550985","-0.034231","-9.205467","0.233593","-0.545474","-0.377189","9"
"-0.378524","-0.546927","-0.105192","-8.595079","0.262879","-0.546938","-0.446633","10"
"-0.38542","-0.464328","-0.362748","-8.221523","0.292516","-0.523914","-0.498813","10"
"-0.392699","-0.310983","-0.676412","-8.00883","0.301712","-0.477351","-0.523904","11"
"-0.402277","-0.060097","-0.974674","-7.880852","0.302178","-0.419317","-0.537723","12"
"-0.405725","0.157378","-1.152814","-7.840254","0.28146","-0.353366","-0.537713","13"
"-0.414537","0.361905","-1.360481","-7.764219","0.248191","-0.275272","-0.512023","13"
"-0.421816","0.608361","-1.661709","-7.889922","0.195864","-0.192584","-0.461117","14"
"-0.427946","0.927027","-1.852815","-8.11754","0.143816","-0.118219","-0.381073","15"
"-0.431011","1.167662","-2.072652","-8.343217","0.088018","-0.070464","-0.287464","16"
"-0.432544","1.338811","-2.207304","-8.442156","0.013208","-0.036698","-0.177923","16"
"-0.434459","1.382928","-2.051851","-8.38976","-0.062925","-0.013966","-0.062947","17"
"-0.434842","1.12859","-1.893907","-8.289786","-0.122711","-0.004451","0.048448","18"
"-0.434076","0.827126","-1.983094","-8.076083","-0.184708","0.018541","0.151222","19"
"-0.432544","0.479203","-1.769756","-7.831203","-0.255577","0.060621","0.240992","19"
"-0.432161","0.374866","-1.770655","-7.814507","-0.305533","0.095064","0.307028","20"
"-0.430628","0.111494","-1.748205","-7.893015","-0.336105","0.082967","0.35765","21"
"-0.429479","-0.263691","-1.737917","-7.805052","-0.370867","0.101879","0.396204","22"
"-0.428712","-0.314197","-1.366241","-8.295852","-0.454592","0.202274","0.429409","22"
"-0.427946","-0.75865","-1.120129","-8.455507","-0.451379","0.194583","0.443745","23"
"-0.42718","-1.05856","-0.606115","-8.789617","-0.469278","0.240113","0.450715","24"
"-0.42718","-1.183354","-0.38635","-9.085059","-0.435199","0.26833","0.423933","25"
"-0.42718","-1.33593","-0.374304","-9.35714","-0.419797","0.287528","0.385847","25"
"-0.42718","-1.647427","-0.4781","-9.519062","-0.415199","0.286878","0.334408","26"
"-0.427563","-1.891751","-0.767262","-9.596953","-0.419963","0.282252","0.272017","27"
"-0.427946","-1.992188","-0.64564","-9.644099","-0.462785","0.273148","0.204998","28"
"-0.427946","-2.173204","-0.55234","-9.790813","-0.467247","0.227521","0.136402","28"
