right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.2543,0.1918,0.0617,-0.0686,-1.4946,0.6132,0.0439,-0.1278,10.8795,3.0321,0.9883,-0.7386,-0.333,3.0224,5.8282,10.0468,-0.929,1.6885,-2.3967,4.4155,-4.9958,9.521,0.442623,0,1698649096,16
-0.254,0.1634,0.0578,-0.1939,-1.6003,0.6597,0.0815,0.4786,10.9672,3.1569,0.9275,-0.7666,-0.3265,3.0505,5.9908,10.1273,-0.7658,2.1414,-2.3163,4.2865,-5.052,9.5864,0.312568,0,1698649096,17
-0.2534,0.152,0.0516,-0.3508,-1.5095,0.6354,0.0434,0.6914,11.3398,3.1598,0.9408,-0.5693,-0.2694,3.0069,6.0656,10.1308,-0.5701,2.6448,-2.2989,4.0425,-5.0782,9.5225,0.357005,0,1698649096,17
-0.2517,0.1719,0.0441,-0.4839,-1.5122,0.74,-0.0527,0.7618,11.4212,3.0674,0.9196,-0.2457,-0.1348,2.884,6.032,10.0122,-0.3848,3.1023,-2.3392,3.7052,-5.0778,9.3683,0.483927,0,1698649096,18
-0.2485,0.2393,0.0357,-0.6164,-1.5297,0.8469,-0.181,0.7213,11.0063,2.9705,0.8639,0.2665,0.0832,2.7113,5.8934,9.803,-0.2196,3.4211,-2.3977,3.3102,-5.059,9.1759,0.598118,0,1698649096,19
-0.2439,0.3066,0.0263,-0.6903,-1.4307,0.9461,-0.2909,0.5833,10.4462,2.8172,0.8633,0.8569,0.2942,2.4582,5.6877,9.5413,-0.0716,3.6269,-2.4491,2.89,-5.0152,8.9177,0.687289,0,1698649096,20
-0.2391,0.3382,0.0159,-0.7522,-1.2985,1.0529,-0.372,0.4057,9.9777,2.6492,0.8602,1.0862,0.4794,2.1208,5.4642,9.1889,0.0629,3.7236,-2.4933,2.5024,-4.9505,8.6102,0.756641,0,1698649096,20
-0.2351,0.3399,0.0056,-0.8225,-1.293,1.1342,-0.4358,0.1537,9.6763,2.4485,0.8511,1.0939,0.6889,1.7571,5.2428,8.8019,-0.0346,3.7059,-2.5132,2.1684,-4.8692,8.3064,0.81051,0,1698649096,21
-0.2315,0.3453,-0.0043,-0.8789,-1.4369,1.165,-0.4982,-0.1503,9.5925,2.207,1.0876,1.4552,0.8312,1.3875,5.0442,8.4494,-0.0857,3.6001,-2.4954,1.8505,-4.7749,8.0226,0.844688,0,1698649096,22
-0.2274,0.3704,-0.014,-0.9317,-1.4388,1.1045,-0.5773,-0.3974,9.3039,2.0668,1.5543,2.1807,0.905,1.0507,4.8749,8.1222,0.1645,3.3407,-2.404,1.5739,-4.6435,7.7752,0.87019,0,1698649096,22
-0.2226,0.4022,-0.0238,-0.979,-1.2281,0.9391,-0.6694,-0.6615,8.8593,1.9995,1.9185,2.6045,0.93,0.7736,4.7415,7.8539,0.484,2.8282,-2.2052,1.4152,-4.4622,7.6118,0.897694,0,1698649096,23
-0.2173,0.4424,-0.0333,-0.9854,-1.0201,0.7944,-0.747,-0.8163,8.5011,1.9647,1.9296,2.1897,0.9511,0.5501,4.6497,7.662,0.8217,2.1574,-1.9084,1.4015,-4.2782,7.5018,0.920523,0,1698649096,24
-0.2108,0.5138,-0.0422,-0.9288,-0.8244,0.6539,-0.7987,-0.8634,8.1536,2.0477,1.6143,1.1815,1.0561,0.4118,4.6305,7.5226,1.0541,1.4531,-1.5586,1.5109,-4.1244,7.4273,0.938267,0,1698649096,25
-0.2034,0.5812,-0.0497,-0.8522,-0.5515,0.4536,-0.8124,-0.9561,7.8974,2.2779,1.1947,0.1675,1.1701,0.4081,4.7112,7.4381,1.1495,0.7825,-1.2316,1.7052,-3.9991,7.4494,0.952049,0,1698649096,25
-0.1962,0.6143,-0.0557,-0.7726,-0.1861,0.2299,-0.7608,-1.0711,7.7999,2.5572,0.741,-0.6688,1.2347,0.5278,4.8777,7.43,1.1699,0.2983,-1.0201,1.9419,-3.9108,7.5873,0.962749,0,1698649096,26
-0.1895,0.6415,-0.0614,-0.719,0.1353,0.0688,-0.6714,-1.1016,7.9629,2.7996,0.3366,-1.3106,1.2253,0.7211,5.0922,7.5065,1.1806,0.1131,-0.9539,2.1404,-3.8676,7.8094,0.971016,0,1698649096,27
-0.183,0.6561,-0.068,-0.7275,0.2715,-0.0204,-0.5866,-1.0345,8.3653,2.9819,0.1052,-1.7767,1.0935,0.9538,5.3382,7.6287,1.2272,0.2172,-0.9715,2.2543,-3.837,8.0484,0.977297,0,1698649096,28
-0.1774,0.6497,-0.0758,-0.7782,0.368,-0.0889,-0.4943,-1.0318,8.7805,3.15,0.0021,-2.126,0.8975,1.181,5.5881,7.7801,1.2882,0.5333,-1.0226,2.2919,-3.8066,8.2571,0.982041,0,1698649096,28
-0.1726,0.6283,-0.0852,-0.8596,0.4164,0.0794,-0.426,-1.0235,9.1578,3.2723,-0.0797,-2.3419,0.7622,1.3827,5.7958,7.9313,1.3406,0.9143,-1.0581,2.2682,-3.7987,8.4288,0.985863,0,1698649096,29
-0.1683,0.5951,-0.0965,-0.9834,0.3629,0.1915,-0.3763,-1.0029,9.4853,3.3347,-0.0298,-2.1901,0.6163,1.5404,5.977,8.0902,1.3959,1.2102,-1.0319,2.2221,-3.7961,8.5947,0.989009,0,1698649096,30
-0.1646,0.5302,-0.1095,-1.1362,0.2677,0.0722,-0.3369,-0.9166,9.8562,3.2762,0.1827,-1.6955,0.4628,1.6129,6.1406,8.2115,1.4362,1.3821,-0.9136,2.1851,-3.7745,8.7501,0.991458,0,1698649096,30
-0.1618,0.4605,-0.1243,-1.2322,0.1673,-0.0434,-0.3328,-0.8571,10.2841,3.1856,0.4663,-1.1971,0.3667,1.5951,6.2811,8.2712,1.4352,1.4765,-0.7203,2.1687,-3.7289,8.8606,0.993358,0,1698649096,31
-0.1599,0.4061,-0.1405,-1.2752,-0.0292,-0.1374,-0.367,-0.7609,10.5614,3.1901,0.8041,-0.7392,0.2417,1.5584,6.4181,8.347,1.3866,1.554,-0.4952,2.1739,-3.6571,8.9189,0.99483,0,1698649096,32
-0.1586,0.3387,-0.1574,-1.3746,-0.428,-0.1193,-0.455,-0.4905,10.6325,3.2142,1.1057,-0.2635,0.0756,1.5499,6.5153,8.3952,1.3097,1.6108,-0.2632,2.1849,-3.5813,8.9348,0.995965,0,1698649096,33
-0.1573,0.2974,-0.1742,-1.5024,-0.8639,-0.0686,-0.5821,-0.3422,10.7943,3.1997,1.3204,0.0566,-0.1062,1.5374,6.5457,8.4061,1.2176,1.6157,-0.0464,2.1891,-3.5147,8.9293,0.996793,0,1698649096,33
-0.1557,0.2797,-0.1905,-1.5781,-1.2136,-0.0377,-0.7089,-0.3789,10.7762,3.2021,1.4701,0.2286,-0.3114,1.544,6.5105,8.4088,1.1197,1.5548,0.1407,2.175,-3.4819,8.8825,0.997166,0,1698649096,34
-0.1533,0.2752,-0.2065,-1.5713,-1.4026,-0.0222,-0.8279,-0.5086,10.543,3.1596,1.5761,0.4005,-0.5108,1.5713,6.4211,8.3739,1.0214,1.4137,0.2904,2.1504,-3.4867,8.8269,0.996365,0,1698649096,35
-0.1503,0.2952,-0.2225,-1.5256,-1.3644,-0.0477,-0.9502,-0.7121,10.503,3.0226,1.6253,0.5903,-0.6614,1.6241,6.2993,8.3231,0.9034,1.2155,0.4143,2.1223,-3.504,8.8109,0.993756,0,1698649096,36
-0.1474,0.2829,-0.2387,-1.5376,-1.2896,-0.0675,-1.0766,-0.9168,10.4692,2.9341,1.6575,0.6882,-0.7844,1.7193,6.1663,8.2932,0.7682,0.9883,0.5378,2.1116,-3.5262,8.8197,0.988355,0,1698649096,36
-0.1449,0.2433,-0.2546,-1.5554,-1.3994,-0.0266,-1.2209,-0.9698,10.4633,2.8574,1.6705,0.5905,-0.8935,1.874,6.0217,8.262,0.722,0.6916,0.6976,2.1886,-3.5358,8.8147,0.967288,0,1698649096,37
-0.1425,0.2333,-0.27,-1.5489,-1.5877,0.0068,-1.379,-0.9251,10.706,2.7069,1.6032,0.3484,-0.9842,2.1147,5.8282,8.1974,0.8651,0.3053,0.9232,2.4117,-3.4903,8.7419,0.912642,0,1698649096,38
-0.1406,0.2418,-0.285,-1.5546,-1.6437,-0.2561,-1.5077,-1.0337,10.9169,2.5456,1.3838,0.0402,-1.0206,2.3922,5.6333,8.1002,1.1466,-0.0247,1.1452,2.7585,-3.4111,8.607,0.83025,0,1698649096,38
-0.1386,0.2445,-0.2994,-1.5335,-1.6063,-0.4859,-1.6018,-1.234,10.586,2.5359,1.043,-0.2333,-0.979,2.6466,5.5067,8.0158,1.4361,-0.125,1.2725,3.1443,-3.3638,8.4416,0.773264,0,1698649096,39
-0.1363,0.2312,-0.313,-1.4964,-1.578,-0.4266,-1.7055,-1.3108,9.8663,2.725,0.6649,-0.438,-0.8632,2.831,5.4659,7.9025,1.6268,0.103,1.2896,3.4686,-3.3666,8.2623,0.78278,0,1698649096,40
-0.1331,0.2542,-0.3259,-1.4814,-1.5876,-0.3465,-1.7963,-1.1753,9.1959,2.9863,0.4846,-0.1028,-0.8908,2.9102,5.5042,7.8021,1.7153,0.6977,1.1921,3.6144,-3.3719,8.118,0.824874,0,1698649096,41
-0.1293,0.306,-0.3383,-1.4534,-1.5064,-0.2842,-1.8225,-1.0385,9.0092,3.1523,0.5184,0.7132,-0.81,2.8618,5.5422,7.7469,1.7849,1.4979,0.9783,3.543,-3.3387,8.0548,0.86282,0,1698649096,41
-0.1257,0.329,-0.3506,-1.3857,-1.1792,-0.0646,-1.8096,-1.0472,8.9906,3.2465,0.7304,1.1868,-0.4797,2.74,5.5234,7.684,1.873,2.2277,0.7194,3.3356,-3.2787,8.0509,0.893391,0,1698649096,42
-0.1226,0.3177,-0.3626,-1.3421,-1.0119,0.1716,-1.7817,-0.935,8.9319,3.1693,0.8814,1.4081,-0.2427,2.6403,5.4721,7.6263,1.9398,2.7144,0.514,3.1225,-3.2093,8.0524,0.917193,0,1698649096,43
-0.12,0.2811,-0.3743,-1.3171,-0.894,0.2145,-1.743,-0.8072,9.2411,2.8583,0.8701,1.8816,-0.1046,2.5565,5.4179,7.5684,1.9618,2.9033,0.4277,2.9548,-3.141,8.0348,0.935681,0,1698649096,43
-0.1179,0.2563,-0.3858,-1.2836,-0.8049,0.2325,-1.7035,-0.9033,9.5634,2.5494,0.9959,2.494,-0.0604,2.4233,5.3985,7.5188,1.9201,2.8796,0.4588,2.8168,-3.0746,8.0249,0.950042,0,1698649096,44
-0.1158,0.2528,-0.3968,-1.2559,-1.0178,0.2558,-1.6695,-0.9695,9.7544,2.2795,1.1643,2.8956,-0.0662,2.211,5.4401,7.4683,1.7812,2.7665,0.5561,2.7128,-3.0054,8.0397,0.961196,0,1698649096,45
-0.1135,0.2473,-0.4071,-1.2106,-1.1158,0.2756,-1.6362,-0.9668,9.7512,2.1017,1.2833,3.1018,-0.0988,1.9712,5.5499,7.4296,1.5523,2.5722,0.6812,2.6176,-2.9385,8.0704,0.96986,0,1698649096,46
-0.1115,0.2343,-0.4164,-1.1341,-1.2286,0.3302,-1.5925,-0.8079,9.4416,2.0298,1.3364,3.2756,-0.1684,1.7679,5.6991,7.4033,1.2901,2.3241,0.8116,2.5162,-2.8871,8.1194,0.976589,0,1698649096,46
-0.1098,0.2201,-0.4244,-1.0412,-1.4474,0.3845,-1.5355,-0.6895,9.3503,1.9145,1.3547,3.4055,-0.2779,1.5972,5.8411,7.4131,1.0268,2.0318,0.923,2.4146,-2.8483,8.1826,0.981816,0,1698649096,47
-0.1079,0.2217,-0.4314,-0.9416,-1.5944,0.3909,-1.458,-0.7783,9.3561,1.8085,1.3817,3.4314,-0.4029,1.4408,5.9507,7.4637,0.7542,1.6981,0.9883,2.3243,-2.8336,8.2498,0.985875,0,1698649096,48
-0.1054,0.2364,-0.4367,-0.8246,-1.7171,0.407,-1.3782,-0.7889,9.1235,1.761,1.424,3.3168,-0.5274,1.3096,6.0293,7.5092,0.487,1.4117,1.0186,2.2626,-2.8398,8.3232,0.988894,0,1698649096,49
