right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.1988,0.6295,0.0782,0.1791,0.3389,2.39,-0.4716,-0.4372,11.0645,0.716,0.9028,0.1347,0.3479,1.7326,6.1492,8.9819,0.7049,-2.8361,0.8236,0.8505,-6.0654,8.8758,0.999812,0,1698651997,16
-0.1922,0.6211,0.0789,0.1512,0.2874,2.2035,-0.3939,-0.8578,11.2932,0.9265,1.0239,0.2338,0.5024,1.6983,6.3394,9.115,0.6729,-2.7996,0.9179,1.0714,-6.1032,9.0673,0.999854,0,1698651997,17
-0.1875,0.5508,0.0793,0.1092,0.272,1.9512,-0.2764,-1.1901,11.3685,1.1155,1.1486,0.2793,0.6803,1.6455,6.5472,9.2453,0.6624,-2.628,0.9818,1.2604,-6.1529,9.2537,0.999887,0,1698651997,17
-0.1849,0.4482,0.0792,0.0905,0.2738,1.6641,-0.1648,-1.4258,11.2556,1.2943,1.2207,0.2626,0.8697,1.536,6.7445,9.3233,0.6791,-2.3866,1.0016,1.3716,-6.1803,9.3994,0.999912,0,1698651997,18
-0.1841,0.3376,0.079,0.0797,0.3765,1.378,-0.0269,-1.5715,11.0714,1.43,1.2393,0.1789,1.0568,1.3962,6.8827,9.3631,0.7354,-2.1232,0.9641,1.3976,-6.158,9.4793,0.999932,0,1698651997,19
-0.184,0.2446,0.0787,0.0578,0.5305,1.172,0.0879,-1.5691,10.9305,1.4675,1.2128,0.0279,1.2217,1.2785,6.9642,9.3415,0.815,-1.8427,0.8677,1.3675,-6.0817,9.4864,0.999947,0,1698651997,19
-0.1838,0.1923,0.0784,0.0316,0.6773,1.0247,0.1327,-1.4176,10.7016,1.5586,1.1232,-0.2377,1.3686,1.1946,6.9758,9.2396,0.9032,-1.5354,0.7119,1.2827,-5.9977,9.4413,0.999959,0,1698651997,20
-0.1832,0.1733,0.0772,-0.0174,0.9218,0.8609,0.1232,-1.1343,10.1521,1.7666,0.9956,-0.5395,1.504,1.1727,6.9224,9.0954,1.0041,-1.2465,0.5252,1.1048,-5.9082,9.3299,0.999968,0,1698651997,21
-0.1816,0.1877,0.0736,-0.1169,1.2276,0.7098,0.0937,-0.6979,9.6159,1.8684,0.8761,-0.6546,1.6372,1.2014,6.8234,8.9305,1.1345,-1.0416,0.3529,0.8515,-5.7866,9.1538,0.999975,0,1698651997,22
-0.1782,0.2588,0.068,-0.2504,1.3815,0.6325,0.0529,-0.3569,9.4739,1.8345,0.7756,-0.6366,1.7859,1.2376,6.6893,8.719,1.2946,-0.9617,0.243,0.5357,-5.6331,8.9395,0.999981,0,1698651997,22
-0.1726,0.3447,0.0603,-0.394,1.4628,0.6304,-0.0453,-0.2016,9.6464,1.7152,0.7163,-0.5979,1.9653,1.2692,6.5483,8.4834,1.47,-1.0301,0.2011,0.2093,-5.4574,8.6889,0.999985,0,1698651997,23
-0.1659,0.4102,0.0501,-0.5175,1.5523,0.6714,-0.171,-0.0382,9.7579,1.5928,0.6949,-0.4903,2.1617,1.3014,6.4133,8.2523,1.6276,-1.194,0.2196,-0.0491,-5.2622,8.413,0.999988,0,1698651997,24
-0.1591,0.4629,0.0397,-0.6119,1.6014,0.7518,-0.307,0.1788,9.7039,1.5841,0.6835,-0.2993,2.3535,1.2915,6.2706,8.0145,1.7398,-1.421,0.309,-0.2466,-5.0319,8.1409,0.999991,0,1698651997,24
-0.1525,0.5039,0.029,-0.7244,1.5322,0.8671,-0.4646,0.4353,9.7283,1.5351,0.6976,-0.0309,2.5332,1.2221,6.1645,7.7879,1.8005,-1.6833,0.4577,-0.3544,-4.7879,7.8861,0.999993,0,1698651997,25
-0.146,0.5317,0.0174,-0.8312,1.4452,0.9166,-0.6151,0.5859,9.9677,1.4606,0.7213,0.2211,2.6795,1.143,6.0949,7.5739,1.7888,-1.9084,0.6329,-0.3551,-4.5623,7.6672,0.999995,0,1698651997,26
-0.1397,0.5545,0.0044,-0.9281,1.4031,0.9457,-0.7695,0.5021,10.0653,1.5114,0.7619,0.4109,2.7847,1.0682,6.0211,7.3654,1.7074,-2.0526,0.8209,-0.2743,-4.3672,7.5058,0.999996,0,1698651997,26
-0.1333,0.5937,-0.0092,-1.0496,1.2145,1.0595,-0.9219,0.3804,9.8922,1.5684,0.8445,0.5983,2.8348,1.0203,5.9723,7.1637,1.5912,-2.1492,1.0027,-0.1459,-4.189,7.3893,0.999997,0,1698651997,27
-0.1276,0.6182,-0.0231,-1.1392,1.0672,1.1598,-1.0078,0.2147,9.9125,1.5924,0.9386,0.79,2.8329,1.0066,5.9612,6.9976,1.4584,-2.2235,1.1619,-0.0105,-4.0313,7.3279,0.999997,0,1698651997,28
-0.1229,0.6003,-0.0378,-1.2422,1.0005,1.2394,-1.0473,-0.0919,9.8018,1.6639,1.0107,0.9107,2.8134,1.0007,5.9683,6.8631,1.3033,-2.2257,1.2974,0.1258,-3.9107,7.3307,0.999998,0,1698651997,28
-0.1181,0.5834,-0.0539,-1.3687,0.8055,1.3796,-1.0703,-0.2601,9.5053,1.7059,1.0958,0.9473,2.7975,0.9898,6.0016,6.7449,1.124,-2.1508,1.4061,0.2495,-3.8254,7.4027,0.999998,0,1698651997,29
-0.113,0.5672,-0.0706,-1.4282,0.4947,1.5158,-1.0719,-0.2734,9.4291,1.6847,1.213,0.9153,2.7834,0.9789,6.0806,6.6694,0.9404,-2.0448,1.488,0.3331,-3.7767,7.5441,0.999999,0,1698651997,30
-0.108,0.5472,-0.087,-1.5002,0.243,1.5483,-1.0306,-0.4216,9.5897,1.6001,1.3253,0.818,2.7742,0.9878,6.199,6.6744,0.7637,-1.9498,1.5413,0.3923,-3.7629,7.7199,0.999999,0,1698651997,31
-0.1034,0.5409,-0.1027,-1.5752,0.1141,1.5531,-0.938,-0.7292,9.8077,1.5067,1.4134,0.681,2.7721,1.0324,6.3623,6.7432,0.5933,-1.8887,1.5802,0.4336,-3.7763,7.9119,0.999999,0,1698651997,31
-0.0985,0.5474,-0.1186,-1.6414,-0.0057,1.6403,-0.8082,-0.9641,9.8717,1.4699,1.469,0.5312,2.7825,1.1058,6.5535,6.8565,0.4285,-1.8489,1.613,0.4602,-3.8177,8.155,0.999999,0,1698651997,32
-0.093,0.5433,-0.1353,-1.691,-0.0851,1.7779,-0.6553,-1.0196,9.7613,1.487,1.5054,0.3944,2.8161,1.1972,6.7443,7.0111,0.2809,-1.8129,1.6469,0.4957,-3.8971,8.442,1,0,1698651997,33
-0.0877,0.5318,-0.1517,-1.6711,-0.1102,1.8635,-0.4965,-0.9871,9.6692,1.512,1.5371,0.2557,2.8643,1.2977,6.9416,7.1889,0.1594,-1.7833,1.6869,0.5432,-4.0051,8.7207,1,0,1698651997,33
-0.0824,0.51,-0.1675,-1.6291,-0.1961,1.8968,-0.3519,-0.9979,9.6551,1.4933,1.5634,0.1071,2.9231,1.4142,7.1246,7.3695,0.0676,-1.7722,1.7231,0.604,-4.1154,8.9535,1,0,1698651997,34
-0.0771,0.4987,-0.1825,-1.6081,-0.3327,1.8783,-0.2387,-1.1322,9.8577,1.4119,1.5745,-0.0253,3.0003,1.5149,7.2945,7.5311,0.0049,-1.7508,1.7504,0.6757,-4.2131,9.1483,1,0,1698651997,35
-0.0718,0.4954,-0.1967,-1.5632,-0.3809,1.7881,-0.1832,-1.4054,10.278,1.277,1.5473,-0.1461,3.0901,1.5859,7.4783,7.6944,-0.0328,-1.683,1.7656,0.7574,-4.2989,9.2872,1,0,1698651997,35
-0.0667,0.4896,-0.2104,-1.4809,-0.3075,1.6593,-0.2039,-1.6253,10.496,1.2169,1.4955,-0.2476,3.1777,1.6509,7.6104,7.8436,-0.0433,-1.5809,1.7629,0.8454,-4.393,9.3858,1,0,1698651997,36
-0.0623,0.4905,-0.2221,-1.4199,-0.2573,1.514,-0.3104,-1.6094,10.447,1.1962,1.4306,-0.3614,3.2577,1.7054,7.6927,7.9679,-0.0353,-1.4565,1.7421,0.937,-4.4916,9.4412,0.999999,0,1698651997,37
-0.0585,0.4645,-0.2321,-1.3372,-0.2166,1.3407,-0.4885,-1.5406,10.3894,1.144,1.3494,-0.4804,3.3053,1.7726,7.728,8.0691,-0.0248,-1.3113,1.7115,1.0306,-4.5689,9.4023,0.999999,0,1698651997,38
-0.055,0.4349,-0.2412,-1.2323,-0.1075,1.114,-0.7164,-1.535,10.2706,1.1783,1.2489,-0.6939,3.3142,1.836,7.6712,8.1107,-0.0167,-1.1814,1.6825,1.098,-4.5982,9.3006,0.999998,0,1698651997,38
-0.0519,0.3935,-0.2494,-1.1499,-0.0134,0.8732,-0.9948,-1.5651,10.154,1.1763,1.118,-1.06,3.3049,1.8919,7.5796,8.1122,-0.0044,-1.0729,1.672,1.1378,-4.5841,9.1645,0.999997,0,1698651997,39
-0.0495,0.3312,-0.2574,-1.0691,0.0291,0.6162,-1.3107,-1.5578,10.0956,1.1312,1.0564,-1.3375,3.2798,1.941,7.5413,7.9303,0.0026,-0.9426,1.68,1.1708,-4.5483,8.9922,0.999991,0,1698651997,40
-0.0477,0.2957,-0.2648,-0.9942,0.0766,0.305,-1.62,-1.5804,10.0525,1.1202,1.0051,-1.3699,3.2373,2.0072,7.4447,7.7152,-0.0056,-0.7826,1.7007,1.2074,-4.4686,8.7926,0.999973,0,1698651997,40
-0.0461,0.2751,-0.2719,-0.9246,0.0972,0.0318,-1.8935,-1.5876,9.9879,1.0101,0.9073,-1.1802,3.1813,2.1232,7.2563,7.6324,-0.0358,-0.6038,1.7407,1.2398,-4.3584,8.5761,0.999926,0,1698651997,41
-0.0441,0.2467,-0.2779,-0.8271,0.0613,-0.1932,-2.146,-1.579,9.7666,0.869,1.0291,-0.9128,3.1062,2.2046,7.0563,7.587,-0.0738,-0.4614,1.7853,1.2308,-4.2575,8.3583,0.999789,0,1698651997,42
-0.0418,0.2233,-0.2829,-0.7356,0.0411,-0.414,-2.3293,-1.5758,9.5802,0.7752,1.1254,-0.5346,3.0547,2.2466,6.8814,7.4815,-0.0854,-0.4012,1.8328,1.1789,-4.1741,8.1666,0.999322,0,1698651997,42
-0.0394,0.2202,-0.2877,-0.6799,0.0876,-0.612,-2.401,-1.5447,9.7317,0.7015,0.9803,-0.1489,3.0003,2.2943,6.7617,7.3268,-0.1327,-0.328,1.8927,1.1255,-4.1141,8.0228,0.997391,0,1698651997,43
