right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,,,,Label
-0.3747,1.0107,0.185,-0.4065,0.511,1.6929,1.3918,-0.1861,12.7616,2.5977,0.6638,-3.3336,0.9288,0.0796,5.5293,12.3153,-0.9289,-2.6517,2.2968,4.2992,-4.8112,11.7933,0.997101,0,1698374923,21
-0.3664,0.8311,0.1638,-0.8607,0.6239,1.5862,1.9985,-0.9677,13.1264,3.6077,0.5323,-3.0191,1.0123,0.2853,5.7491,12.0639,-0.7623,-2.4672,2.6519,4.464,-4.5985,11.7894,0.997712,0,1698374923,22
-0.3692,0.5069,0.1388,-1.1824,1.1742,1.3149,2.9939,-1.6334,12.307,4.5991,0.3287,-2.6112,1.194,0.4731,5.9035,11.7133,-0.5716,-2.0136,2.8314,4.5164,-4.3438,11.6968,0.998217,0,1698374923,23
-0.3757,0.2625,0.1115,-1.4863,0.9362,1.3624,3.7968,-1.3828,11.9202,4.4382,0.1272,-2.0814,1.5005,0.5527,6.0269,11.3611,-0.4337,-1.3409,2.8533,4.4846,-3.9963,11.5265,0.998615,0,1698374923,24
-0.3773,0.2541,0.0818,-1.7775,-0.2193,1.3465,4.2322,-1.4889,12.7751,3.01,-0.02,-1.5565,1.8876,0.4552,6.1377,11.0902,-0.4161,-0.4818,2.8097,4.3432,-3.5882,11.3256,0.99878,0,1698374923,25
-0.3709,0.4491,0.0491,-2.0296,-1.3734,1.2711,4.3641,-1.9693,13.7029,2.1901,-0.1369,-1.4062,2.3323,0.3015,6.1722,10.8843,-0.5115,0.5033,2.741,3.9989,-3.3228,11.115,0.909858,0,1698374923,25
-0.3591,0.6596,0.014,-2.3679,-1.7516,1.4997,4.3174,-1.8073,13.1156,2.6601,-0.2865,-1.3593,2.7613,0.2387,6.148,10.6894,-0.6392,1.4023,2.6611,3.4768,-3.3085,10.9006,0.681777,0,1698374923,26
-0.3445,0.8615,-0.0214,-2.7197,-1.9133,1.8801,4.0912,-1.0563,12.3037,3.1211,-0.4708,-1.0953,3.1285,0.2773,6.1249,10.5161,-0.724,2.0529,2.6486,2.9568,-3.372,10.686,0.490097,0,1698374924,27
-0.3299,0.9979,-0.0538,-2.9466,-1.9844,2.1951,3.762,-0.3426,12.3933,3.5628,-0.6251,-0.7974,3.4581,0.3191,6.0952,10.3574,-0.7464,2.4406,2.7717,2.5249,-3.3879,10.4661,0.489058,0,1698374924,28
-0.3161,1.0738,-0.0851,-3.1135,-1.8973,2.4057,3.3419,-0.2658,12.6739,3.9898,-0.7057,-0.3342,3.7465,0.3158,5.9935,10.2162,-0.6836,2.4205,3.0455,2.1563,-3.4086,10.282,0.590717,0,1698374924,29
-0.3021,1.1833,-0.1182,-3.2728,-1.9472,2.7747,2.892,-0.3855,12.6106,4.093,-0.7377,0.3051,3.9816,0.2546,5.8186,10.1154,-0.5028,1.8526,3.4593,1.8892,-3.4514,10.1558,0.680969,0,1698374924,30
-0.2872,1.3009,-0.1516,-3.4031,-2.1837,3.0246,2.3781,-0.7971,12.7667,3.8706,-0.7489,1.0667,4.2127,0.089,5.6686,10.0595,-0.2235,0.8951,3.946,1.7977,-3.4629,10.0623,0.752166,0,1698374924,31
-0.2714,1.3852,-0.1851,-3.483,-2.318,3.0509,1.7624,-1.3034,12.6784,3.7074,-0.7465,1.8551,4.44,-0.1768,5.5713,10.0196,0.0642,-0.1579,4.3845,1.8678,-3.4369,9.9494,0.807483,0,1698374924,32
-0.2546,1.4194,-0.218,-3.5262,-2.4598,2.975,1.1275,-1.653,12.0828,3.5826,-0.7889,2.4223,4.5918,-0.4759,5.5401,9.9833,0.2775,-0.9665,4.7098,2.0401,-3.3728,9.8001,0.850458,0,1698374924,33
-0.2378,1.4575,-0.2499,-3.537,-2.3781,2.7558,0.474,-1.73,11.2743,3.2437,-0.9301,2.6813,4.616,-0.6837,5.5263,9.9355,0.3886,-1.3244,4.9258,2.2389,-3.3325,9.6091,0.883846,0,1698374924,34
-0.221,1.4762,-0.2804,-3.4743,-2.2406,2.4637,-0.2542,-1.6383,10.4448,2.9653,-1.1668,2.695,4.5231,-0.7601,5.4511,9.8231,0.4442,-1.5282,4.9436,2.3997,-3.2829,9.2715,0.90978,0,1698374924,35
-0.2034,1.5087,-0.3089,-3.3559,-2.1619,2.1704,-1.0133,-1.6227,9.6379,2.8145,-1.4673,2.5796,4.3709,-0.7465,5.2837,9.6384,0.4593,-1.2758,4.8688,2.5231,-3.253,8.7918,0.929921,0,1698374924,36
-0.1852,1.6198,-0.3353,-3.2084,-1.8937,1.7713,-1.787,-1.5899,8.6133,2.7404,-1.792,2.5052,4.2015,-0.6464,5.004,9.3571,0.4514,-0.5778,4.8133,2.6007,-3.2372,8.2745,0.9454,0,1698374924,37
-0.167,1.6882,-0.3599,-3.0288,-1.5933,1.2584,-2.5677,-1.5041,7.7776,2.7478,-2.1063,2.5932,4.0376,-0.4772,4.6555,8.9312,0.4904,0.0249,4.7207,2.6414,-3.1736,7.7584,0.956532,0,1698374924,38
-0.1489,1.7135,-0.3827,-2.9026,-1.2561,0.7169,-3.2739,-1.5449,7.2568,2.698,-2.3744,2.838,3.9094,-0.3244,4.2686,8.4331,0.6,0.8415,4.5841,2.706,-3.0697,7.2925,0.948257,0,1698374924,39
-0.131,1.7588,-0.4038,-2.7866,-0.8825,0.1787,-3.8743,-1.6808,6.8515,2.586,-2.5962,3.1312,3.8167,-0.252,3.9001,7.9179,0.7038,1.613,4.4856,2.701,-2.9233,6.7751,0.915415,0,1698374924,40
-0.1129,1.7316,-0.4241,-2.6161,-0.5693,-0.3399,-4.3722,-1.7967,6.4877,2.5279,-2.783,3.3197,3.7438,-0.258,3.5533,7.3859,0.8118,1.9132,4.4338,2.6154,-2.7227,6.2235,0.896512,0,1698374924,41
-0.0956,1.6448,-0.4429,-2.396,-0.3686,-0.8628,-4.7394,-1.8967,6.3573,2.4644,-2.9196,3.3903,3.6761,-0.3009,3.193,6.8955,0.9527,2.0116,4.4285,2.5374,-2.5209,5.7494,0.889423,0,1698374924,42
-0.0807,1.5431,-0.4591,-2.1968,-0.1267,-1.408,-4.9402,-2.0949,6.292,2.3025,-2.9753,3.4605,3.5988,-0.3516,2.8429,6.4777,1.0749,2.1461,4.5693,2.4584,-2.3684,5.3354,0.859779,0,1698374924,42
-0.0676,1.4661,-0.4744,-2.039,0.1106,-1.9541,-4.9769,-2.3347,6.1323,2.0749,-2.9352,3.5891,3.5115,-0.4163,2.5308,6.1433,1.1486,2.5471,4.7536,2.4037,-2.2321,5.0225,0.85113,0,1698374924,43
-0.0566,1.3804,-0.4893,-1.8802,0.1186,-2.4285,-4.863,-2.4829,6.2349,1.7102,-2.8273,3.6678,3.4019,-0.5075,2.2949,5.9159,1.3209,3.0366,4.9206,2.3446,-2.1241,4.7903,0.871073,0,1698374924,44
-0.0472,1.2453,-0.5029,-1.7499,0.0455,-2.8755,-4.605,-2.5895,6.5358,1.335,-2.6881,3.5064,3.2563,-0.6217,2.1436,5.7895,1.3226,3.3393,5.0896,2.2972,-2.0591,4.6445,0.84972,0,1698374924,45
-0.039,1.1207,-0.5151,-1.6608,0.0399,-3.3751,-4.2436,-2.7728,6.7092,1.0131,-2.551,3.001,3.092,-0.7475,2.0759,5.7482,0.9932,3.5719,5.2319,2.2672,-2.0512,4.6322,0.695779,0,1698374924,46
-0.0319,0.9951,-0.5255,-1.5151,-0.0821,-3.7513,-3.8077,-2.7928,6.6972,0.7573,-2.3993,2.2591,3.1315,-0.8802,2.0722,5.8068,0.6684,3.571,5.3296,2.2186,-2.0966,4.724,0.40588,0,1698374924,47
-0.0252,0.9027,-0.5342,-1.3554,-0.291,-4.0648,-3.309,-2.6081,6.7372,0.6715,-2.1946,1.7825,3.1374,-0.9667,2.1225,5.9568,0.3479,3.4272,5.3885,2.2041,-2.1856,4.918,0.103776,0,1698374924,48
-0.0182,0.8625,-0.5409,-1.2,-0.49,-4.3518,-2.7554,-2.3949,6.7451,0.7148,-1.9623,1.5256,2.9069,-0.9845,2.2242,6.1588,0.007,3.3018,5.3968,2.199,-2.29,5.2034,-0.141513,0,1698374924,49
-0.0103,0.8672,-0.5449,-0.9831,-0.7161,-4.4809,-2.1405,-2.1146,6.7135,0.7516,-1.7631,0.9273,2.64,-0.9651,2.3624,6.4045,-0.3166,2.9812,5.3324,2.1739,-2.423,5.5576,-0.333001,0,1698374924,50
-0.0018,0.9124,-0.5459,-0.7482,-0.9692,-4.4696,-1.4916,-1.7588,6.8726,0.6201,-1.6118,0.3706,2.3705,-0.8966,2.5294,6.6926,-0.5902,2.4373,5.1845,2.1634,-2.5781,5.9843,-0.481835,0,1698374924,51
0.0078,0.9643,-0.5447,-0.5233,-1.1531,-4.3969,-0.824,-1.3933,7.0438,0.3376,-1.4977,-0.0252,2.1433,-0.7897,2.7233,6.9781,-0.7924,1.8989,5.1769,2.1877,-2.7517,6.4624,-0.597496,0,1698374924,52
0.0186,0.9897,-0.5412,-0.2608,-1.2661,-4.2126,-0.1989,-1.2108,7.2425,0.1604,-1.4142,-0.5525,1.9403,-0.6666,2.9343,7.2435,-0.9307,1.5711,5.0517,2.2402,-2.9283,6.9525,-0.687356,0,1698374924,53
0.0312,1.0498,-0.5333,0.0636,-1.2124,-4.0456,0.371,-1.0618,7.2175,0.3223,-1.3382,-0.98,1.764,-0.5039,3.1494,7.4937,-1.0058,1.3625,4.6128,2.2765,-3.0692,7.4189,-0.75716,0,1698374924,54
0.0439,1.1458,-0.5212,0.3873,-1.1101,-3.9568,0.8988,-0.7365,6.7987,0.6144,-1.252,-1.1058,1.6509,-0.2994,3.3457,7.7337,-0.9942,1.0828,4.1559,2.2784,-3.1683,7.8398,-0.811379,0,1698374924,55
