right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.3877,0.411,0.1575,-1.091,0.8764,0.7872,2.8023,-0.9125,12.2442,4.3989,-2.5264,-3.373,0.9232,-11.1799,5.8623,0.0396,-1.4325,-3.214,0.0535,-12.0139,2.773,0.5723,0.492764,0,1698375258.3504,21
-0.3916,0.2137,0.1325,-1.501,1.073,0.7915,3.5108,-1.6811,12.6612,4.2298,-2.22,-2.541,0.743,-10.7091,5.6039,-0.0796,-1.652,-2.4931,0.2797,-11.3145,2.7872,-0.1106,0.485858,0,1698375258.3602,22
-0.3938,0.1968,0.105,-1.8643,1.2053,1.226,4.1004,-1.7513,11.9593,4.219,-1.9105,-1.7728,0.4999,-10.2369,5.3994,-0.1971,-1.7109,-1.894,0.5653,-10.7103,2.6617,-0.707,0.516441,0,1698375258.3705,23
-0.3895,0.365,0.0744,-2.1766,0.3578,1.895,4.3401,-1.1948,11.3387,4.4434,-1.8021,-1.2487,0.1594,-9.7915,5.3021,-0.4182,-1.6774,-1.4074,0.9423,-10.2947,2.4826,-1.0925,0.545394,0,1698375258.3803,24
-0.3784,0.5769,0.0407,-2.5143,-0.747,2.2076,4.1659,-0.4892,10.9377,4.6882,-2.1023,-0.7682,-0.2116,-9.3084,5.2802,-0.6811,-1.7391,-1.1351,1.2453,-9.9302,2.4588,-1.2124,0.553911,0,1698375258.3906,25
-0.3642,0.7618,0.0052,-2.8337,-0.8714,2.0839,3.9129,-0.2493,10.6061,4.8741,-2.6346,-0.0593,-0.4869,-8.872,5.3394,-0.9428,-2.0351,-0.9909,1.4585,-9.6091,2.6877,-1.0841,0.538598,0,1698375258.4003,26
-0.3497,0.9171,-0.0301,-3.0235,-0.9578,2.1344,3.644,-0.0856,11.1676,4.7272,-3.1954,0.4828,-0.6693,-8.5488,5.5548,-1.1124,-2.5419,-0.8908,1.6897,-9.4952,3.0759,-0.7993,0.509816,0,1698375258.4107,27
-0.3365,1.01,-0.0643,-3.161,-1.1416,2.2904,3.3925,-0.0171,11.899,4.6307,-3.7699,0.9184,-0.7615,-8.3872,5.8507,-1.1088,-3.0293,-0.9486,1.7577,-9.6302,3.5156,-0.4594,0.488414,0,1698375258.4212,28
-0.3236,1.0412,-0.0979,-3.3203,-1.3415,2.4389,3.1657,-0.1881,12.3489,4.6015,-4.2435,1.3462,-0.7326,-8.4232,6.0559,-1.0203,-3.2477,-1.0599,1.6187,-9.951,3.8312,-0.2344,0.481643,0,1698375258.4308,29
-0.3101,1.1338,-0.1314,-3.3496,-1.5053,2.555,2.8608,-0.6967,12.7492,4.3949,-4.5516,1.7151,-0.5712,-8.63,6.0651,-0.9379,-3.3151,-0.9189,1.406,-10.2724,3.8326,-0.0613,0.475187,0,1698375258.4406,30
-0.2952,1.2776,-0.1649,-3.3465,-1.768,2.71,2.3973,-1.244,12.7464,3.8562,-4.6759,1.9616,-0.3087,-8.9429,5.8943,-0.879,-3.2591,-0.5375,1.1879,-10.5118,3.56,0.1213,0.46857,0,1698375258.4504,31
-0.2784,1.3989,-0.1978,-3.426,-1.9909,2.6258,1.7825,-1.6174,12.5758,3.2312,-4.6583,2.1727,-0.0255,-9.3108,5.618,-0.807,-2.9797,-0.4117,0.8975,-10.6267,3.1782,0.1439,0.459661,0,1698375258.4602,32
-0.2607,1.5247,-0.2295,-3.4515,-1.858,2.2375,1.0859,-1.9108,11.8927,2.8334,-4.4989,2.2701,0.1987,-9.6492,5.2289,-0.7532,-2.4967,-0.5926,0.5671,-10.5732,2.7574,0.0971,0.444864,0,1698375258.4705,33
-0.2429,1.5887,-0.2596,-3.3909,-1.7147,1.9026,0.3659,-2.0198,11.234,2.4582,-4.2464,2.2632,0.3192,-9.8468,4.7784,-0.7254,-2.0713,-0.6795,0.308,-10.3721,2.3542,0.1024,0.42301,0,1698375258.4806,34
-0.2247,1.6185,-0.2873,-3.2178,-1.5319,1.5573,-0.368,-2.0459,10.61,2.2354,-3.9403,2.2254,0.2747,-9.8747,4.3587,-0.7275,-2.0119,-0.5876,0.1075,-10.0018,1.9337,0.1376,0.396426,0,1698375258.4905,35
-0.2055,1.6658,-0.3124,-3.0082,-1.2893,1.1297,-1.1383,-1.959,9.7526,2.2021,-3.573,2.2387,0.0825,-9.6946,3.9551,-0.7474,-2.1131,-0.3756,-0.0056,-9.5212,1.5591,0.2485,0.366561,0,1698375258.5011,36
-0.1851,1.7057,-0.3359,-2.8277,-0.9066,0.5607,-1.9113,-1.8386,9.1041,2.2051,-3.2188,2.4126,-0.1682,-9.3358,3.5869,-0.7427,-1.8535,-0.2229,0.0335,-9.0277,1.2633,0.3176,0.303103,0,1698375258.5107,37
-0.1642,1.737,-0.358,-2.6503,-0.4551,-0.0176,-2.6166,-1.8624,8.6439,2.0552,-2.8098,2.6695,-0.4805,-8.8668,3.279,-0.6975,-1.6032,0.3065,0.1398,-8.5973,1.0012,0.4934,0.132915,0,1698375258.5212,38
-0.1425,1.7575,-0.3786,-2.5322,-0.1938,-0.3688,-3.2215,-1.862,8.2346,1.7307,-2.2901,2.9952,-0.7674,-8.2996,3.007,-0.5904,-1.7897,0.9912,0.1056,-8.1424,0.8505,0.7852,-0.098186,0,1698375258.5307,39
-0.1208,1.7915,-0.3976,-2.4089,-0.0514,-0.6671,-3.7288,-1.8151,7.8582,1.5821,-1.7681,3.353,-0.9656,-7.695,2.7657,-0.4588,-1.8239,1.3365,-0.1187,-7.6584,0.7936,1.007,-0.295146,0,1698375258.5408,40
-0.0997,1.8209,-0.4151,-2.241,0.0353,-1.0225,-4.105,-1.73,7.5909,1.6808,-1.3055,3.8534,-1.1161,-7.1161,2.5989,-0.3093,-1.5811,1.5765,-0.3194,-7.2133,0.7502,1.1267,-0.452365,0,1698375258.5504,41
-0.0784,1.9056,-0.4316,-2.12,0.1052,-1.4254,-4.335,-1.7452,7.4218,1.6893,-0.9266,4.2275,-1.2202,-6.6046,2.5191,-0.1646,-1.1897,1.653,-0.4113,-6.8095,0.7117,1.2074,-0.574634,0,1698375258.5608,42
-0.0578,1.9475,-0.4473,-1.9677,0.1101,-1.7844,-4.4326,-1.9059,7.3947,1.4594,-0.7379,4.3119,-1.2576,-6.1491,2.4402,-0.0335,-0.803,1.6477,-0.4733,-6.4357,0.6852,1.3481,-0.669606,0,1698375258.5706,43
-0.038,1.9246,-0.4623,-1.7979,0.0066,-2.0581,-4.4071,-2.1036,7.3165,1.1474,-0.7056,4.2709,-1.2099,-5.7464,2.3258,0.1103,-0.5273,1.4858,-0.5888,-6.081,0.6797,1.4117,-0.743373,0,1698375258.5805,44
-0.0189,1.9202,-0.4761,-1.6414,-0.1958,-2.3185,-4.296,-2.1076,7.1678,0.9145,-0.7188,3.7993,-1.1474,-5.3719,2.0618,0.1768,-0.3422,1.2375,-0.7015,-5.7537,0.6759,1.4501,-0.80067,0,1698375258.5907,45
-0.0015,1.874,-0.4883,-1.4939,-0.2762,-2.7278,-4.0956,-2.0419,6.9432,1.0214,-0.9294,2.9507,-0.9164,-5.0868,1.7528,0.2031,-0.4123,1.2141,-0.6485,-5.47,0.6115,1.4585,-0.845175,0,1698375258.601,46
0.0138,1.7818,-0.4993,-1.38,-0.2296,-3.2553,-3.7942,-2.1243,6.8139,1.2589,-1.1372,2.3879,-0.6313,-4.9654,1.6548,0.3141,-0.7787,1.7149,-0.6397,-5.1334,0.5537,1.3253,-0.879743,0,1698375258.6107,47
0.0265,1.6346,-0.5083,-1.2576,-0.3323,-3.6932,-3.4178,-2.2009,6.937,1.2424,-1.0822,2.191,-0.5411,-4.9473,1.6729,0.4041,-1.1212,1.9923,-0.7768,-4.9414,0.6146,1.2325,-0.906592,0,1698375258.6206,48
0.0364,1.4527,-0.5155,-1.1009,-0.5416,-4.0759,-3.0044,-2.2601,7.0417,1.1248,-0.904,2.056,-0.5197,-5.0385,1.686,0.4028,-1.4699,1.7996,-0.8484,-5.0251,0.6254,1.2939,-0.927448,0,1698375258.6309,49
0.044,1.2615,-0.5209,-0.9467,-0.7962,-4.4328,-2.5768,-2.2796,6.8966,1.0415,-0.6539,1.9946,-0.5251,-5.2197,1.7351,0.3658,-1.6709,1.4189,-0.9253,-5.1633,0.584,1.3319,-0.943646,0,1698375258.6409,50
0.0493,1.1025,-0.524,-0.7608,-1.0213,-4.7143,-2.1398,-2.1916,6.6045,0.9744,-0.3676,2.0151,-0.5541,-5.4532,1.8818,0.3079,-1.5364,0.7986,-1.0601,-5.4284,0.608,1.3084,-0.956228,0,1698375258.6508,50
0.0538,0.9679,-0.5237,-0.5412,-1.3401,-4.8188,-1.7118,-1.9858,6.5137,0.7386,-0.1189,2.0421,-0.5996,-5.7562,2.1256,0.256,-1.2623,0.1267,-1.1485,-5.8543,0.648,1.2627,-0.966001,0,1698375258.6602,51
0.0587,0.8526,-0.52,-0.3143,-1.5809,-4.9459,-1.2822,-1.8677,6.7388,0.8637,0.0036,2.0375,-0.6699,-6.118,2.4433,0.216,-0.9506,-0.523,-1.184,-6.3729,0.7301,1.2978,-0.973592,0,1698375258.6704,52
0.0649,0.8244,-0.5121,-0.0309,-1.6001,-5.216,-0.8377,-1.7875,6.3941,1.2719,-0.0146,2.0134,-0.7705,-6.4457,2.7852,0.1728,-0.7059,-1.0821,-1.1689,-6.8648,0.8974,1.4247,-0.979488,0,1698375258.6807,53
0.073,0.869,-0.4984,0.3252,-1.5306,-5.3542,-0.3672,-1.4411,5.8018,1.3554,-0.1156,1.982,-0.9032,-6.7987,3.1232,0.1701,-0.475,-1.6153,-1.107,-7.311,1.1446,1.5861,-0.984068,0,1698375258.6914,54
0.0834,0.9524,-0.4784,0.7065,-1.2806,-5.2195,0.1661,-0.971,5.6417,1.2607,-0.2333,2.1629,-1.0574,-7.243,3.4665,0.2304,-0.2649,-2.0337,-1.0614,-7.7848,1.4301,1.8096,-0.987625,0,1698375258.7006,55
0.0952,1.0538,-0.4535,1.0738,-0.8376,-4.9359,0.7261,-0.6363,5.6427,1.0899,-0.2369,2.2626,-1.172,-7.6775,3.7796,0.2589,-0.1614,-2.1968,-1.0354,-8.257,1.6947,2.0537,-0.990388,0,1698375258.711,56
0.1081,1.1428,-0.4255,1.4617,-0.1646,-4.6756,1.2292,-0.4833,5.9019,1.0205,-0.0847,2.0332,-1.1997,-8.0678,4.0573,0.2623,-0.2335,-2.0814,-1.0288,-8.6837,1.9064,2.2711,-0.992534,0,1698375258.7204,57
0.122,1.2283,-0.3974,1.7241,0.7084,-4.4862,1.6072,-0.1779,6.3371,0.9738,0.1299,1.7187,-1.1778,-8.4456,4.3526,0.3016,-0.4285,-1.8291,-1.0433,-9.1175,2.0777,2.4763,-0.994201,0,1698375258.7302,58
0.1358,1.2662,-0.3718,1.8571,1.5731,-4.2717,1.8156,0.1842,7.0565,1.1319,0.3213,1.3414,-1.1258,-8.8222,4.6288,0.3999,-0.6395,-1.5529,-1.0639,-9.5105,2.2391,2.6512,-0.995496,0,1698375258.7405,59
0.1494,1.2568,-0.3525,1.8167,2.3206,-3.9654,1.8906,0.5092,7.4747,1.7045,0.5091,0.9197,-1.0292,-9.1831,4.8211,0.5769,-0.8529,-1.2873,-1.1251,-9.833,2.3765,2.7852,-0.996501,0,1698375258.7507,60
0.1616,1.2329,-0.3446,1.4513,2.7972,-3.6814,1.7817,1.0306,8.7446,1.8924,0.7155,0.4635,-0.8766,-9.4765,4.9416,0.7145,-1.045,-0.9498,-1.1769,-10.113,2.4627,2.8027,-0.997283,0,1698375258.7602,61
0.172,1.1464,-0.3477,0.924,2.8539,-3.1635,1.4347,1.6234,10.9372,1.4413,0.8707,0.0453,-0.6387,-9.6862,5.0935,0.772,-1.2301,-0.5777,-1.1268,-10.4081,2.5037,2.7176,-0.997889,0,1698375258.7709,62
0.1801,1.0434,-0.3579,0.3958,2.6388,-2.4944,0.9062,2.0534,12.5069,0.7209,0.9376,-0.2737,-0.3518,-9.828,5.305,0.8119,-1.3781,-0.4463,-0.9745,-10.7284,2.5125,2.7347,-0.998361,0,1698375258.7807,63
