right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.395,0.2423,0.0781,0.4235,0.8265,0.8112,-0.2771,2.0679,8.7101,1.202,-0.5995,-0.2641,1.0261,-8.8265,3.0651,-0.0765,0.0995,0.1064,1.3903,-9.3379,1.1586,1.4236,0.392851,0,1698375084.523,16
-0.3877,0.3624,0.0846,0.4478,1.1083,1.1655,-0.2726,2.3305,8.6469,1.1017,-0.8912,-0.5728,1.1041,-8.8588,3.1596,-0.053,-0.3394,0.1762,1.5455,-9.3677,1.286,1.4142,0.384533,0,1698375084.5343,17
-0.3777,0.4699,0.0925,0.4758,1.6382,2.2891,-0.2532,2.5451,8.7539,1.0966,-1.5332,-1.4512,1.333,-9.1259,3.4275,-0.0234,-1.4658,0.0918,1.8289,-9.6807,1.4943,1.4955,0.215433,0,1698375084.5462,18
-0.3664,0.5613,0.1002,0.505,1.8948,2.8222,-0.1961,2.2917,9.1569,1.3537,-1.8857,-2.0275,1.4814,-9.3319,3.5983,-0.0142,-2.1867,-0.0627,1.905,-9.9475,1.5606,1.5823,-0.015412,0,1698375084.5568,18
-0.3541,0.6789,0.1071,0.527,2.1631,3.0189,-0.1058,1.7977,9.6795,1.6421,-2.2934,-2.6028,1.647,-9.5477,3.7898,-0.0059,-2.9818,-0.2312,1.8865,-10.202,1.625,1.6569,-0.226069,0,1698375084.5675,19
-0.3423,0.7805,0.1128,0.4916,2.363,3.0916,0.0138,1.1622,10.3676,1.9434,-2.7199,-3.1401,1.8208,-9.7942,3.9719,-0.019,-3.7621,-0.3664,1.7844,-10.4211,1.71,1.7274,-0.386962,0,1698375084.5782,20
-0.3319,0.7863,0.1158,0.4064,2.3888,3.0612,0.2124,0.4467,11.3458,2.1154,-3.0734,-3.5489,1.9668,-10.0151,4.1254,-0.0442,-4.3316,-0.4492,1.6438,-10.6102,1.7988,1.794,-0.294361,0,1698375084.5887,21
-0.3242,0.7282,0.1166,0.3167,2.2997,2.9813,0.4041,-0.1707,11.9155,2.1942,-3.203,-3.7641,2.0641,-10.2101,4.2431,-0.1081,-4.5438,-0.6627,1.5234,-10.7536,1.8167,1.7425,-0.023377,0,1698375084.5998,21
-0.3195,0.6269,0.1164,0.2426,2.164,2.8647,0.5096,-0.5618,12.0699,2.2634,-3.049,-3.7208,2.1072,-10.4415,4.3251,-0.2192,-4.3951,-1.0304,1.4581,-10.8474,1.7683,1.5681,0.188041,0,1698375084.6109,22
-0.3173,0.5114,0.1155,0.143,1.8942,2.7613,0.5438,-0.8245,12.0177,2.2076,-2.7512,-3.452,2.0606,-10.6558,4.3994,-0.3453,-4.0887,-1.3417,1.4269,-10.9178,1.7152,1.3158,0.361681,0,1698375084.6213,23
-0.3157,0.4446,0.1125,-0.001,1.7775,2.6989,0.5388,-1.1047,11.4758,2.1196,-2.4986,-3.1665,1.8992,-10.7979,4.4741,-0.4703,-3.843,-1.5715,1.4138,-10.9306,1.7015,1.003,0.500229,0,1698375084.6312,24
