right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.3989,0.1264,0.0832,0.6605,1.5617,1.161,-0.7984,1.9579,8.9327,1.2003,0.3524,-2.1862,-1.6346,9.0369,-2.2901,2.625,-0.3704,-0.3052,-2.0707,9.3442,-2.588,1.3614,-0.257085,0,1698375506.3403,14
-0.3969,0.1823,0.0899,0.697,1.7519,1.5394,-0.8019,2.1494,8.9419,1.0841,0.466,-1.9021,-1.6093,9.0075,-2.2748,2.5839,-0.0729,-0.4144,-2.1627,9.2791,-2.5916,1.3806,-0.071191,0,1698375506.3503,15
-0.3932,0.2605,0.0968,0.7185,1.9575,1.9348,-0.8124,2.2612,8.9515,0.969,0.5832,-1.6218,-1.5564,8.9745,-2.2326,2.5209,0.24,-0.5607,-2.2274,9.2327,-2.5714,1.3957,0.04299,0,1698375506.3603,16
-0.3867,0.408,0.1036,0.713,2.1641,2.3407,-0.8461,2.3112,9.0024,0.8993,0.6921,-1.635,-1.5247,8.9483,-2.1927,2.4261,0.5401,-0.8004,-2.2725,9.2208,-2.5493,1.4233,0.216388,0,1698375506.3703,16
-0.377,0.5856,0.1105,0.7167,2.4371,2.7242,-0.8722,2.2349,9.057,0.8733,0.6693,-2.154,-1.5708,8.9558,-2.1342,2.2682,0.7553,-1.1135,-2.2803,9.2717,-2.5362,1.4583,0.385169,0,1698375506.3806,17
-0.3645,0.7372,0.1171,0.7071,2.6491,3.103,-0.8917,2.0515,9.371,0.8322,0.4744,-2.523,-1.6825,9.0762,-2.0551,2.2111,0.8492,-1.4599,-2.2378,9.4445,-2.5115,1.5122,0.521133,0,1698375506.3905,18
-0.3495,0.8739,0.1226,0.6626,2.7439,3.4416,-0.8659,1.6918,10.0812,0.8963,0.1662,-3.2357,-2.0658,9.3451,-1.9078,2.0689,0.9119,-1.8073,-2.1451,9.7338,-2.4499,1.5595,0.627665,0,1698375506.4005,18
-0.3334,1.0379,0.1271,0.6046,2.8295,3.6457,-0.7359,1.0658,10.8042,1.1265,-0.2837,-4.3015,-2.7359,9.7793,-1.7015,2.0087,1.0186,-2.0925,-1.9854,10.1232,-2.3451,1.5475,0.709516,0,1698375506.4107,19
-0.3181,1.1477,0.1303,0.531,2.8082,3.7276,-0.5327,0.4088,11.3941,1.4279,-0.7073,-4.5251,-3.3578,10.3881,-1.5663,2.277,1.1406,-2.3763,-1.7496,10.6039,-2.1838,1.5209,0.769129,0,1698375506.4204,20
-0.3051,1.1362,0.1315,0.4209,2.7166,3.6446,-0.2658,-0.2697,11.8975,1.7527,-1.0866,-4.2147,-4.0138,11.0684,-1.468,2.5929,1.3359,-2.7424,-1.4583,11.1732,-1.9938,1.4857,0.804437,0,1698375506.4302,20
-0.2962,1.0219,0.1312,0.33,2.752,3.3382,0.025,-0.7935,11.7154,2.1894,-1.2057,-4.1151,-4.7748,11.6967,-1.3428,2.7869,1.6555,-3.0693,-1.1681,11.7222,-1.7593,1.4392,0.789256,0,1698375506.4407,21
-0.2927,0.8212,0.131,0.2638,2.5955,3.1197,0.3489,-1.056,11.4598,2.3511,-0.7076,-4.1571,-5.3215,12.1663,-1.0956,2.9227,1.9634,-3.0932,-0.9819,12.1199,-1.434,1.4081,0.758845,0,1698375506.4502,22
-0.2923,0.6451,0.1298,0.1424,2.1236,2.962,0.6704,-1.5304,11.5508,2.7373,0.3065,-3.9042,-5.3414,12.386,-0.799,3.0803,2.027,-2.9379,-1.0017,12.3499,-1.0666,1.3562,0.76443,0,1698375506.4604,22
-0.2922,0.5202,0.1255,-0.0351,1.7085,2.7296,0.8024,-1.6682,11.4833,2.8779,1.5586,-3.5705,-4.8166,12.3951,-0.5973,3.0792,1.8617,-2.8965,-1.2541,12.3909,-0.73,1.2739,0.780203,0,1698375506.4705,23
