right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.399,0.2747,0.13,-1.2291,1.1269,0.2297,3.8789,-1.5251,12.201,3.7223,0.8169,-8.1657,-4.2207,12.577,-0.9675,3.8683,-1.7122,-6.3295,-0.7143,12.7768,-0.5793,1.4163,-0.708746,0,1698375680.0122,22
-0.4018,0.1922,0.1031,-1.6149,0.85,0.5485,4.5141,-1.4246,12.2056,3.4891,2.7595,-8.1776,-3.5268,12.3687,-0.6226,3.8917,-0.7206,-5.732,-1.0035,12.4108,-0.3872,1.5817,-0.773775,0,1698375680.0224,23
-0.4005,0.2489,0.0744,-1.9393,0.6469,0.2865,4.7296,-1.0445,11.5937,4.1239,4.8019,-6.9358,-2.5984,12.1863,-0.3579,3.7787,-0.425,-4.8895,-1.0893,12.0974,-0.5045,1.8919,-0.824284,0,1698375680.033,24
-0.3919,0.4317,0.0412,-2.2443,0.2922,-0.1283,4.4011,-0.249,10.8861,4.6405,6.9302,-5.0186,-1.5569,11.972,-0.3244,3.7416,-0.1554,-4.1602,-1.0707,11.8257,-0.6836,2.0458,-0.863516,0,1698375680.0437,25
-0.3777,0.6683,0.003,-2.6655,-0.0523,-0.0756,4.0113,0.3596,10.8916,4.6436,9.0154,-3.1724,-0.5979,11.7531,-0.4205,3.7345,0.037,-3.1301,-0.9352,11.6259,-0.9523,2.0009,-0.893989,0,1698375680.0544,26
-0.3614,0.8318,-0.0362,-2.9825,-0.3233,0.198,3.6377,0.4557,11.3067,4.7138,10.6981,-1.504,0.0779,11.7731,-0.5636,3.6619,0.172,-2.1826,-0.6885,11.4853,-1.2444,1.9275,-0.917658,0,1698375680.0653,27
-0.3457,0.936,-0.074,-3.0817,-0.688,0.575,3.2649,0.5162,12.0191,4.4848,12.8683,-1.8954,0.5228,11.8071,-0.388,3.3706,0.5325,-1.5148,-0.2856,11.4363,-1.475,1.8639,-0.936043,0,1698375680.0769,28
-0.3306,1.0521,-0.1105,-3.0558,-0.9312,0.9471,2.891,0.2716,12.2284,4.3788,15.1684,-3.7308,0.0903,11.8154,0.0825,3.1502,1.213,-0.8819,0.3436,11.5105,-1.5652,1.7433,-0.95031,0,1698375680.0875,29
-0.3154,1.1578,-0.1464,-3.0008,-1.1926,1.1313,2.4634,-0.1488,12.4918,4.2714,14.3363,-5.4138,-1.6058,11.9784,0.4632,3.2024,2.0739,-0.2343,1.0981,11.5497,-1.5349,1.5628,-0.961377,0,1698375680.0983,30
-0.2995,1.2742,-0.1805,-2.947,-1.3666,1.0928,1.9898,-0.726,12.5477,3.9976,12.0154,-6.1194,-2.4612,11.9347,0.1084,3.6907,2.8483,0.2482,1.7498,11.4467,-1.4364,1.3505,-0.969986,0,1698375680.108,31
-0.283,1.3655,-0.2125,-2.9036,-1.5623,1.0502,1.4583,-1.2257,11.904,3.6313,10.6277,-5.5707,-1.856,11.6763,-0.3546,4.2602,3.3901,0.536,2.164,11.2687,-1.2764,1.1478,-0.976687,0,1698375680.1186,32
-0.2659,1.4302,-0.2455,-2.8572,-1.6427,0.9301,0.8563,-1.3759,11.0903,3.3219,9.0453,-5.6847,-1.1131,11.3313,-0.1326,4.094,3.6993,0.7733,2.3067,11.0219,-1.0134,0.9822,-0.981892,0,1698375680.1289,33
-0.248,1.499,-0.2773,-2.8993,-1.5535,0.6673,0.1876,-1.2759,10.3748,3.118,7.5972,-6.035,-0.4075,10.9128,0.1363,3.7177,3.9293,0.9865,2.15,10.7342,-0.6951,0.8556,-0.985935,0,1698375680.1388,34
-0.2297,1.5304,-0.3052,-2.8948,-1.6009,0.4146,-0.5125,-1.1319,9.9773,2.8008,6.7537,-5.3781,0.3571,10.5581,0.2465,3.5198,4.5272,1.0609,1.6712,10.4376,-0.4392,0.7068,-0.988956,0,1698375680.1492,35
-0.2103,1.6255,-0.3307,-2.7876,-1.4895,0.1203,-1.1935,-1.1301,9.4497,2.5657,6.3857,-3.7405,1.1069,10.2446,0.2666,3.2685,5.3469,1.117,1.0616,10.147,-0.3982,0.5095,-0.991302,0,1698375680.1592,36
-0.1898,1.7486,-0.3543,-2.6699,-1.2666,-0.2055,-1.869,-1.311,8.7966,2.4966,6.306,-1.532,1.8478,9.9226,0.2315,2.8928,5.5141,1.2126,0.5795,9.8313,-0.4831,0.3337,-0.993244,0,1698375680.1696,37
-0.1687,1.7947,-0.3776,-2.5442,-1.1472,-0.4406,-2.524,-1.4551,8.5315,2.2807,6.7291,1.1703,2.7514,9.5768,0.1262,2.5607,5.0636,1.0124,0.2341,9.4189,-0.524,0.1392,-0.994753,0,1698375680.18,38
-0.1471,1.8057,-0.399,-2.4105,-0.8413,-0.7732,-3.0899,-1.6829,8.2641,2.1043,7.8144,3.9433,3.7421,9.1756,0.008,2.299,4.4947,0.3806,-0.0394,8.9565,-0.5373,-0.0528,-0.995924,0,1698375680.1902,39
-0.1261,1.8452,-0.4175,-2.2877,-0.6728,-1.1994,-3.5636,-1.9093,7.7908,2.0615,9.5326,6.3187,4.5789,8.7124,-0.0325,2.138,3.7741,-0.3062,-0.1597,8.5161,-0.5775,-0.2022,-0.996834,0,1698375680.1996,40
-0.107,1.9278,-0.4347,-2.1665,-0.582,-1.6037,-3.9511,-1.9406,7.3394,1.9594,11.9997,8.1467,5.2306,8.1591,0.0396,2.1674,3.2145,-0.48,-0.1117,8.1005,-0.5778,-0.3201,-0.997541,0,1698375680.2098,41
-0.0892,1.9489,-0.4509,-2.0417,-0.3248,-2.0116,-4.2171,-1.9938,7.0749,1.8458,14.631,9.5095,5.7411,7.5955,0.138,2.1945,3.2902,0.1494,-0.037,7.7196,-0.5472,-0.2994,-0.99809,0,1698375680.2201,42
-0.072,1.8794,-0.4663,-1.9504,-0.2069,-2.3684,-4.353,-2.1414,6.9724,1.6646,16.8605,10.4121,6.0447,7.1048,0.2665,2.1731,3.2144,1.3251,0.2537,7.4086,-0.4506,-0.266,-0.998516,0,1698375680.2298,43
-0.0569,1.7595,-0.4808,-1.8469,-0.1493,-2.7154,-4.3538,-2.3072,6.9144,1.5059,18.486601,10.8396,6.0308,6.7432,0.3033,2.2043,2.0783,2.5136,0.5435,6.996,0.2943,-0.2309,-0.998848,0,1698375680.2399,44
-0.0432,1.6133,-0.4949,-1.7085,-0.1078,-3.6599,-4.026,-2.4518,6.8736,1.5048,18.163799,9.644,4.9602,6.268,0.4527,2.3184,6.3542,1.4536,0.1175,6.2549,1.187,-1.1395,-0.999105,0,1698375680.2534,45
-0.0313,1.4483,-0.508,-1.5509,-0.0613,-4.1353,-3.7222,-2.5721,6.781,1.3981,16.6765,8.2242,4.0422,6.1258,0.5776,2.3832,11.8296,2.2129,-0.4299,6.2116,1.2044,-1.0497,-0.999305,0,1698375680.2646,46
-0.0229,1.2608,-0.5187,-1.3956,-0.1778,-4.496,-3.3764,-2.5043,6.7449,1.157,14.554,6.4149,3.0072,6.0888,0.6823,2.4581,12.7548,3.5679,-0.3489,6.2506,0.6906,-0.7125,-0.99946,0,1698375680.2752,47
