right q,right q dot,left q,left q dot,right_shoulder_ang_x,right_shoulder_ang_y,right_shoulder_ang_z,right_shoulder_acc_x,right_shoulder_acc_y,right_shoulder_acc_z,left_shoulder_ang_x,left_shoulder_ang_y,left_shoulder_ang_z,left_shoulder_acc_x,left_shoulder_acc_y,left_shoulder_acc_z,Label
-0.1826,0.4897,0.2771,-0.7709,-0.5969,0.102,0.8404,0.0271,-0.1151,0.2092,-0.5048,-0.063,0.9016,-0.2248,-0.0175,0.3241,11
-0.1763,0.5196,0.2671,-0.8381,-0.5969,0.102,0.8404,0.0271,-0.1151,0.2092,-0.5048,-0.063,0.9016,-0.2248,-0.0175,0.3241,12
-0.1697,0.5463,0.2563,-0.9057,-0.5893,0.1104,0.8266,0.0056,-0.1124,0.2356,-0.4981,-0.055,0.8851,-0.2435,-0.0143,0.3325,12
-0.1697,0.5463,0.2563,-0.9057,-0.5813,0.1186,0.8139,-0.0171,-0.1087,0.263,-0.4914,-0.0469,0.8687,-0.261,-0.0097,0.3419,12
-0.1627,0.5694,0.2447,-0.9729,-0.5813,0.1186,0.8139,-0.0171,-0.1087,0.263,-0.4914,-0.0469,0.8687,-0.261,-0.0097,0.3419,13
-0.1555,0.5883,0.2323,-1.0389,-0.5728,0.1264,0.8024,-0.0406,-0.1042,0.291,-0.4848,-0.0387,0.8524,-0.277,-0.0038,0.3521,13
-0.1555,0.5883,0.2323,-1.0389,-0.564,0.1338,0.7922,-0.0646,-0.0988,0.3194,-0.4786,-0.0305,0.8367,-0.2912,0.0035,0.3631,13
-0.148,0.6027,0.2191,-1.1029,-0.564,0.1338,0.7922,-0.0646,-0.0988,0.3194,-0.4786,-0.0305,0.8367,-0.2912,0.0035,0.3631,14
-0.1404,0.6122,0.2052,-1.164,-0.5551,0.1408,0.7835,-0.0888,-0.0927,0.3477,-0.4727,-0.0223,0.8216,-0.3035,0.0121,0.3749,14
-0.1404,0.6122,0.2052,-1.164,-0.5461,0.1473,0.7763,-0.1129,-0.0861,0.3758,-0.4675,-0.0143,0.8074,-0.3136,0.0221,0.3872,14
-0.1327,0.6168,0.1905,-1.2214,-0.5461,0.1473,0.7763,-0.1129,-0.0861,0.3758,-0.4675,-0.0143,0.8074,-0.3136,0.0221,0.3872,15
-0.1327,0.6168,0.1905,-1.2214,-0.5371,0.1533,0.7709,-0.1365,-0.079,0.4033,-0.4631,-0.0065,0.7944,-0.3213,0.0332,0.4,15
-0.1249,0.6164,0.1752,-1.2742,-0.5371,0.1533,0.7709,-0.1365,-0.079,0.4033,-0.4631,-0.0065,0.7944,-0.3213,0.0332,0.4,15
-0.1172,0.6111,0.1593,-1.3218,-0.5282,0.1587,0.7671,-0.1593,-0.0717,0.4299,-0.4594,0.0009,0.7826,-0.3265,0.0454,0.4131,16
-0.1172,0.6111,0.1593,-1.3218,-0.5196,0.1635,0.7651,-0.1809,-0.0641,0.4555,-0.4567,0.0079,0.7722,-0.3291,0.0585,0.4264,16
-0.1095,0.601,0.1429,-1.3633,-0.5196,0.1635,0.7651,-0.1809,-0.0641,0.4555,-0.4567,0.0079,0.7722,-0.3291,0.0585,0.4264,16
