right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_back_ang_x,right_back_ang_y,right_back_ang_z,right_back_acc_x,right_back_acc_y,right_back_acc_z,left_back_ang_x,left_back_ang_y,left_back_ang_z,left_back_acc_x,left_back_acc_y,left_back_acc_z,,,,Label
-0.2691,-0.0374,-0.0013,0.0336,-1.4877,-0.0178,-0.8694,0.8052,9.5531,0.3074,0.8868,0.2426,-1.068,8.1154,-1.0297,5.5372,0.6101,0.5464,-1.0167,9.0527,-1.1399,2.986,-0.815004,0,1698648004.0518,13
-0.2691,-0.0463,-0.0005,0.0584,-1.4416,0.0563,-0.9636,0.8652,9.3899,0.312,0.8597,0.1378,-0.951,8.0974,-1.0501,5.5033,0.583,0.4907,-1.039,9.012,-1.1472,3.0158,-0.750021,0,1698648004.0613,13
-0.2691,-0.0598,0.0007,0.0848,-1.3589,0.1343,-1.0632,0.9179,9.3286,0.2792,0.8481,0.0147,-0.8304,8.0752,-1.0674,5.5083,0.6208,0.4432,-1.0325,8.9643,-1.1595,3.0454,-0.65986,0,1698648004.071,14
-0.269,-0.0517,0.0018,0.0946,-1.264,0.2264,-1.1594,0.9607,9.2277,0.2601,0.822,-0.1278,-0.7034,8.0566,-1.0815,5.5195,0.7251,0.3739,-1.0035,8.9214,-1.16,3.0839,-0.510649,0,1698648004.0817,14
-0.2688,-0.0349,0.0039,0.1204,-1.1264,0.3039,-1.2485,0.9959,9.1032,0.2416,0.7728,-0.2786,-0.5741,8.0405,-1.0856,5.5283,0.8402,0.3244,-0.9648,8.8665,-1.1783,3.1253,-0.303813,0,1698648004.0919,15
-0.2685,-0.0207,0.0068,0.158,-0.8874,0.3743,-1.3331,1.0277,8.9701,0.2258,0.7422,-0.4212,-0.4226,8.0085,-1.0821,5.5532,0.9262,0.3072,-0.9178,8.7968,-1.2048,3.162,-0.071063,0,1698648004.1016,15
-0.2679,-0.011,0.0099,0.1966,-0.6183,0.4648,-1.4031,1.0666,8.6874,0.2612,0.7406,-0.5687,-0.2418,7.9877,-1.0772,5.5671,1.0015,0.2751,-0.8676,8.725,-1.204,3.2121,0.152097,0,1698648004.112,16
-0.2666,0.0259,0.0137,0.2316,-0.4433,0.5786,-1.4761,1.0604,8.5309,0.3135,0.696,-0.7642,-0.0554,7.9985,-1.0954,5.5699,1.0387,0.1632,-0.8081,8.7006,-1.2106,3.3026,0.331549,0,1698648004.1222,17
-0.264,0.0973,0.0178,0.2676,-0.3202,0.6985,-1.573,1.0573,8.7321,0.3106,0.6314,-1.0447,0.1474,8.0317,-1.1175,5.5881,1.0804,-0.1137,-0.721,8.7706,-1.236,3.4569,0.444881,0,1698648004.1321,17
-0.2597,0.1921,0.0218,0.2907,-0.2416,0.8743,-1.6482,0.9781,9.1395,0.3019,0.6767,-1.3665,0.3748,8.1522,-1.1218,5.6151,1.2722,-0.5282,-0.5955,8.9425,-1.2418,3.6179,0.48981,0,1698648004.1423,18
