q,right_acc_x,right_acc_y,right_acc_z,right_ang_x,right_ang_y,right_ang_z,left_acc_x,left_acc_y,left_acc_z,left_ang_x,left_ang_y,left_ang_z,label
-0.1616,-4.6959,1.5673,6.4176,0.8929,6.6498,9.6111,0.7824,-1.16,3.6356,0.8813,0.2666,10.221,33
-0.1525,-4.688,1.7002,6.1631,0.2313,6.5075,9.2659,0.4849,-1.4914,3.7591,0.6639,0.3823,10.0665,34
-0.1429,-4.688,1.7002,6.1631,0.2313,6.5075,9.2659,0.4849,-1.4914,3.7591,0.6639,0.3823,10.0665,34
-0.1341,-3.9311,1.8192,5.6282,-0.2517,6.2672,9.3208,0.1022,-1.8769,4.069,0.74,0.2303,10.1804,35
-0.1246,-3.9311,1.8192,5.6282,-0.2517,6.2672,9.3208,0.1022,-1.8769,4.069,0.74,0.2303,10.1804,36
-0.1153,-2.7113,1.821,4.8732,-0.3335,5.9572,9.5973,-0.2165,-2.0268,4.4335,1.1006,-0.0809,10.3811,37
-0.1043,-2.7113,1.821,4.8732,-0.3335,5.9572,9.5973,-0.2165,-2.0268,4.4335,1.1006,-0.0809,10.3811,38
-0.094,-1.5354,1.621,4.0199,-0.0425,5.6369,9.8577,-0.378,-1.7465,4.6862,1.6105,-0.3581,10.4398,38
-0.082,-1.5354,1.621,4.0199,-0.0425,5.6369,9.8577,-0.378,-1.7465,4.6862,1.6105,-0.3581,10.4398,39
-0.0732,-0.8432,1.3324,3.1998,0.4059,5.359,9.9135,-0.415,-0.9976,4.7293,2.1027,-0.5072,10.2531,40
-0.0622,-0.8432,1.3324,3.1998,0.4059,5.359,9.9135,-0.415,-0.9976,4.7293,2.1027,-0.5072,10.2531,41
-0.0525,-0.7171,1.1048,2.5029,0.786,5.1168,9.6945,-0.4098,0.0238,4.5352,2.4239,-0.5294,9.8882,41
-0.0427,-0.7171,1.1048,2.5029,0.786,5.1168,9.6945,-0.4098,0.0238,4.5352,2.4239,-0.5294,9.8882,42
-0.0337,-0.8798,0.9884,1.946,0.955,4.9078,9.2846,-0.4281,1.0036,4.105,2.54,-0.4397,9.4903,43
-0.0251,-0.8798,0.9884,1.946,0.955,4.9078,9.2846,-0.4281,1.0036,4.105,2.54,-0.4397,9.4903,44
-0.0174,-0.8798,0.9884,1.946,0.955,4.9078,9.2846,-0.4281,1.0036,4.105,2.54,-0.4397,9.4903,45
-0.0095,-0.9536,1.0425,1.4865,0.9293,4.7745,8.8562,-0.5295,1.6931,3.4994,2.5051,-0.2795,9.2034,45
-0.0034,-0.9536,1.0425,1.4865,0.9293,4.7745,8.8562,-0.5295,1.6931,3.4994,2.5051,-0.2795,9.2034,46
0.0025,-0.7499,1.1839,1.0578,0.8346,4.7374,8.587,-0.7321,1.9424,2.8534,2.3654,-0.1393,9.1179,47
0.0086,-0.7499,1.1839,1.0578,0.8346,4.7374,8.587,-0.7321,1.9424,2.8534,2.3654,-0.1393,9.1179,48
0.014,-0.312,1.2742,0.6318,0.7787,4.7917,8.584,-0.9805,1.7897,2.2888,2.1997,-0.1051,9.2702,48
0.019,-0.312,1.2742,0.6318,0.7787,4.7917,8.584,-0.9805,1.7897,2.2888,2.1997,-0.1051,9.2702,49
0.0241,0.2032,1.2763,0.238,0.8046,4.9121,8.8239,-1.1539,1.4577,1.8355,2.1193,-0.1938,9.6249,50
