q,right_acc_x,right_acc_y,right_acc_z,right_ang_x,right_ang_y,right_ang_z,left_acc_x,left_acc_y,left_acc_z,left_ang_x,left_ang_y,left_ang_z,label
-0.4507,2.2939,2.8496,0.2829,1.5279,2.8847,9.4977,1.4822,2.4693,1.4364,3.7085,-1.5663,8.6817,0
-0.4526,2.2939,2.8496,0.2829,1.5279,2.8847,9.4977,1.4822,2.4693,1.4364,3.7085,-1.5663,8.6817,0
-0.4531,2.4529,3.0302,0.3534,1.415,2.9402,9.7124,1.5147,2.1971,1.16,3.582,-1.5847,8.704,0
-0.453,2.4529,3.0302,0.3534,1.415,2.9402,9.7124,1.5147,2.1971,1.16,3.582,-1.5847,8.704,1
-0.4526,2.3861,2.946,0.371,1.2818,2.9921,9.9229,1.4451,1.8016,0.9717,3.4801,-1.5933,8.7478,2
-0.4506,2.3861,2.946,0.371,1.2818,2.9921,9.9229,1.4451,1.8016,0.9717,3.4801,-1.5933,8.7478,3
-0.4463,2.3861,2.946,0.371,1.2818,2.9921,9.9229,1.4451,1.8016,0.9717,3.4801,-1.5933,8.7478,4
-0.4378,2.086,2.5315,0.3387,1.1808,3.0476,10.1003,1.2599,1.3554,0.8432,3.4072,-1.6178,8.8202,5
-0.4296,1.6357,1.8418,0.2947,1.1193,3.1034,10.3053,0.9843,0.9293,0.7329,3.3116,-1.6926,8.9813,6
-0.4151,1.6357,1.8418,0.2947,1.1193,3.1034,10.3053,0.9843,0.9293,0.7329,3.3116,-1.6926,8.9813,6
-0.4032,1.0554,0.9502,0.2159,0.974,3.186,10.574,0.6799,0.5194,0.644,3.1938,-1.7886,9.2654,7
-0.3902,1.0554,0.9502,0.2159,0.974,3.186,10.574,0.6799,0.5194,0.644,3.1938,-1.7886,9.2654,8
-0.3801,1.0554,0.9502,0.2159,0.974,3.186,10.574,0.6799,0.5194,0.644,3.1938,-1.7886,9.2654,9
-0.373,0.3843,-0.1015,0.021,0.7174,3.3193,10.8578,0.3916,0.0506,0.6053,3.155,-1.8631,9.6498,10
-0.3709,0.3843,-0.1015,0.021,0.7174,3.3193,10.8578,0.3916,0.0506,0.6053,3.155,-1.8631,9.6498,11
-0.3714,-0.2023,-1.195,-0.295,0.5296,3.4587,11.167,0.1671,-0.5013,0.6009,3.2452,-1.9515,10.0523,12
-0.3727,-0.2023,-1.195,-0.295,0.5296,3.4587,11.167,0.1671,-0.5013,0.6009,3.2452,-1.9515,10.0523,13
-0.3735,-0.5783,-2.1358,-0.6008,0.5147,3.5708,11.5152,0.0729,-1.0823,0.5439,3.356,-2.0816,10.3457,14
-0.3734,-0.5783,-2.1358,-0.6008,0.5147,3.5708,11.5152,0.0729,-1.0823,0.5439,3.356,-2.0816,10.3457,15
-0.3731,-0.8874,-2.8792,-0.6737,0.6381,3.6572,11.7906,0.067,-1.6771,0.3667,3.3189,-2.1653,10.3971,16
-0.3724,-0.8874,-2.8792,-0.6737,0.6381,3.6572,11.7906,0.067,-1.6771,0.3667,3.3189,-2.1653,10.3971,17
-0.3709,-1.3095,-3.3163,-0.3363,0.86,3.6549,11.8718,-0.0717,-2.4014,0.1301,3.0681,-2.145,10.265,18
-0.3625,-1.3095,-3.3163,-0.3363,0.86,3.6549,11.8718,-0.0717,-2.4014,0.1301,3.0681,-2.145,10.265,19
-0.3486,-1.8291,-3.5399,0.3081,1.1358,3.5275,11.7666,-0.5218,-3.3359,0.01,2.7403,-2.0931,10.3117,19
-0.331,-1.8291,-3.5399,0.3081,1.1358,3.5275,11.7666,-0.5218,-3.3359,0.01,2.7403,-2.0931,10.3117,20
-0.3115,-2.1128,-3.6249,0.8549,1.4676,3.3933,11.6115,-1.0836,-4.3388,0.1841,2.6716,-2.0668,10.7956,21
-0.296,-2.1128,-3.6249,0.8549,1.4676,3.3933,11.6115,-1.0836,-4.3388,0.1841,2.6716,-2.0668,10.7956,22
-0.2886,-1.7041,-3.0658,1.1346,1.8584,3.4584,11.5216,-1.3247,-4.794,0.6665,3.1417,-2.0154,11.5747,23
-0.2887,-1.7041,-3.0658,1.1346,1.8584,3.4584,11.5216,-1.3247,-4.794,0.6665,3.1417,-2.0154,11.5747,24
-0.29,-0.5544,-1.5797,1.436,2.2534,3.8146,11.56,-1.0758,-4.1217,1.2567,4.0688,-1.8874,12.3901,25
-0.2903,-0.5544,-1.5797,1.436,2.2534,3.8146,11.56,-1.0758,-4.1217,1.2567,4.0688,-1.8874,12.3901,26
-0.2864,0.9766,0.6316,1.8732,2.6105,4.3381,11.7383,-0.4704,-2.5629,1.6955,5.1002,-1.7091,12.9829,27
-0.2786,0.9766,0.6316,1.8732,2.6105,4.3381,11.7383,-0.4704,-2.5629,1.6955,5.1002,-1.7091,12.9829,28
-0.2665,2.2782,2.6662,2.2144,2.8081,4.8404,11.8963,0.2949,-0.7056,1.8294,5.7446,-1.4809,13.0172,29
-0.2522,2.2782,2.6662,2.2144,2.8081,4.8404,11.8963,0.2949,-0.7056,1.8294,5.7446,-1.4809,13.0172,30
-0.2391,2.776,3.1664,2.2905,2.607,5.2134,11.8561,0.9908,0.7657,1.6906,5.6133,-1.171,12.3869,31
-0.224,2.776,3.1664,2.2905,2.607,5.2134,11.8561,0.9908,0.7657,1.6906,5.6133,-1.171,12.3869,31
-0.2111,2.4334,2.0012,2.1899,1.9872,5.4206,11.6201,1.3889,1.2151,1.4555,4.8434,-0.8374,11.3896,32
-0.1988,2.4334,2.0012,2.1899,1.9872,5.4206,11.6201,1.3889,1.2151,1.4555,4.8434,-0.8374,11.3896,33
-0.1868,1.794,0.8821,2.115,1.1859,5.4408,11.2534,1.3883,0.8433,1.2812,3.9137,-0.5668,10.4283,34
