right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.2854,0.0179,0.0524,0.1247,0.41,2.9643,-1.2832,1.8721,9.4322,1.1552,-2.0143,-0.1014,1.6991,-7.4445,5.2609,2.9342,-2.4293,-0.5966,1.1254,-8.8387,-3.7796,-1.1146,0.380301,0,1698373572.2266,14
-0.2852,0.0183,0.0521,0.0826,0.4073,3.3449,-1.3388,1.7318,9.6156,1.25,-2.3233,-0.1413,1.8758,-7.5239,5.4628,2.909,-3.0322,-0.9834,1.1259,-9.0845,-3.7262,-1.1942,0.518652,0,1698373572.2367,15
-0.2844,0.0401,0.0519,0.0491,0.32,3.6763,-1.3538,1.478,10.2512,1.3053,-2.7133,-0.1919,2.053,-7.6596,5.737,2.8812,-3.6939,-1.3724,1.1016,-9.4226,-3.725,-1.2451,0.626123,0,1698373572.2469,15
-0.2826,0.0897,0.051,0.012,0.1031,4.0624,-1.2879,1.2373,10.8758,1.2199,-3.122,-0.2201,2.2384,-7.8126,6.0288,2.8644,-4.2471,-1.6567,1.0529,-9.7628,-3.776,-1.2445,0.709598,0,1698373572.258,16
-0.2794,0.169,0.0487,-0.0649,-0.1088,4.3393,-1.1856,0.972,11.4024,1.0929,-3.4274,-0.1934,2.4088,-7.9994,6.2587,2.8364,-4.595,-1.7736,1.0057,-10.0377,-3.849,-1.2088,0.774436,0,1698373572.2693,17
-0.2744,0.2571,0.0447,-0.162,-0.093,4.3024,-0.9595,0.233,11.9763,1.418,-3.4321,0.1118,2.5776,-8.4019,6.4827,2.7957,-4.5215,-1.619,1.0782,-10.3108,-4.019,-1.1633,0.824797,0,1698373572.2807,17
-0.2679,0.3219,0.0389,-0.2534,0.09,4.1839,-0.8555,-0.1366,11.7964,1.6277,-3.1613,0.3703,2.5419,-8.6001,6.4643,2.7916,-4.209,-1.5108,1.1821,-10.2893,-4.0797,-1.1848,0.863914,0,1698373572.2914,18
-0.2618,0.3457,0.0318,-0.3211,0.2985,3.9889,-0.7628,-0.4402,11.5014,1.7859,-2.8444,0.6307,2.4519,-8.7393,6.4213,2.7852,-3.8086,-1.431,1.2901,-10.1738,-4.0908,-1.2378,0.894297,0,1698373572.3029,19
-0.2574,0.334,0.0242,-0.4035,0.5815,3.753,-0.7334,-0.5768,11.0154,1.9223,-2.5173,0.833,2.3378,-8.7555,6.3361,2.7661,-3.3903,-1.3801,1.3808,-9.9835,-4.0277,-1.3337,0.917898,0,1698373572.3142,19
-0.2532,0.3261,0.0159,-0.4868,0.8815,3.4726,-0.8145,-0.6421,10.585,2.0738,-2.1823,0.9364,2.2124,-8.6494,6.1972,2.7228,-3.0057,-1.3491,1.4504,-9.7473,-3.8833,-1.4278,0.936229,0,1698373572.3252,20
-0.2486,0.3254,0.0065,-0.5725,1.0488,3.248,-0.9517,-0.6508,10.3098,2.1587,-1.8684,0.9605,2.104,-8.4218,6.0629,2.6505,-2.6839,-1.3361,1.5002,-9.4991,-3.6779,-1.4776,0.950467,0,1698373572.3358,21
-0.2439,0.3349,-0.0035,-0.7,1.1046,3.1017,-1.1188,-0.5806,10.2219,2.2008,-1.5964,0.9673,2.0368,-8.0893,5.9551,2.5489,-2.434,-1.3328,1.5304,-9.2527,-3.4296,-1.4788,0.961526,0,1698373572.3455,21
