right_q,right_q_dot,left_q,left_q_dot,pelv_ang_1,pelv_ang_2,pelv_ang_3,pelv_acc_1,pelv_acc_1,pelv_acc_3,right_chest_ang_x,right_chest_ang_y,right_chest_ang_z,right_chest_acc_x,right_chest_acc_y,right_chest_acc_z,left_chest_ang_x,left_chest_ang_y,left_chest_ang_z,left_chest_acc_x,left_chest_acc_y,left_chest_acc_z,,,,Label
-0.2448,0.2271,0.0909,0.3878,0.5872,1.6061,-0.3064,0.1268,10.2468,-0.4186,-1.3578,0.4725,0.7285,-9.8565,4.2798,-0.8662,-2.3114,-0.3244,2.0828,-8.9306,-1.187,5.7559,-0.907559,0,1698647670,17
-0.2447,0.1697,0.094,0.372,0.4623,1.7301,-0.0414,-0.0806,10.9111,-0.4051,-1.2203,0.3863,0.867,-10.1297,4.5343,-0.97,-2.5085,-0.6075,2.1261,-9.2895,-1.0458,5.9747,-0.925265,0,1698647670,18
-0.2445,0.1465,0.0965,0.3283,0.3423,1.7923,0.2862,-0.428,11.6723,-0.5036,-0.966,0.3491,1.0956,-10.4139,4.8185,-0.9627,-2.7503,-0.8052,2.1477,-9.6179,-0.8784,6.2944,-0.931067,0,1698647670,19
-0.243,0.1716,0.0973,0.2669,-0.1565,1.7324,0.5935,-0.8322,12.8813,-1.2644,-0.7192,0.2529,1.3346,-10.6891,5.1035,-0.879,-2.7966,-0.9537,2.1007,-9.8862,-0.7567,6.6482,-0.824741,0,1698647670,19
-0.239,0.2733,0.097,0.203,-0.8738,1.6705,0.8817,-0.9546,14.1222,-2.2987,-0.6672,0.0232,1.4733,-10.9258,5.351,-0.9543,-2.473,-1.1125,1.9763,-10.141,-0.7237,6.8867,-0.616613,0,1698647670,20
-0.2319,0.4117,0.0964,0.1455,-1.1735,1.5585,1.1004,-0.905,14.4644,-2.4278,-0.839,-0.2525,1.4668,-11.1415,5.5665,-1.2229,-1.8253,-1.2034,1.7016,-10.3745,-0.7349,6.9298,-0.427497,0,1698647670,21
-0.2234,0.492,0.0948,0.0575,-1.0058,1.3701,1.2055,-0.824,14.1075,-1.8331,-1.1173,-0.4751,1.3578,-11.3307,5.7387,-1.4657,-1.082,-1.2698,1.3102,-10.5182,-0.7353,6.7788,-0.408929,0,1698647670,22
-0.2153,0.5536,0.0912,-0.082,-0.6046,1.2008,1.2624,-0.6534,13.4595,-1.1122,-1.3905,-0.5824,1.1973,-11.4164,5.7949,-1.5832,-0.4773,-1.3392,0.9652,-10.5504,-0.7145,6.4659,-0.535057,0,1698647670,22
-0.2083,0.581,0.0848,-0.2488,-0.2827,1.0105,1.2376,-0.6131,13.2096,-0.5106,-1.5968,-0.6138,0.99,-11.3777,5.7678,-1.5846,-0.0665,-1.2952,0.6717,-10.4843,-0.6248,6.1467,-0.638681,0,1698647670,23
-0.2034,0.5408,0.0763,-0.3752,-0.0625,0.8712,1.1212,-0.508,13.1873,-0.1494,-1.7536,-0.6245,0.7233,-11.217,5.7138,-1.5901,0.2049,-1.0701,0.3449,-10.3487,-0.5103,5.8621,-0.719242,0,1698647670,24
-0.2002,0.4717,0.0669,-0.5195,0.0855,0.8081,0.9413,-0.2901,12.8915,0.1718,-1.9257,-0.5979,0.3628,-10.9365,5.6144,-1.6801,0.3561,-0.7043,-0.0181,-10.1491,-0.4325,5.4772,-0.781778,0,1698647670,25
-0.1973,0.4264,0.0559,-0.712,0.1715,0.7523,0.695,-0.127,12.4763,0.4077,-2.1668,-0.5312,-0.0749,-10.5413,5.4737,-1.7981,0.4573,-0.3802,-0.3349,-9.9085,-0.3794,5.0067,-0.830253,0,1698647670,26
-0.1929,0.4606,0.0427,-0.9032,0.2511,0.7448,0.3836,0.0364,12.022,0.5807,-2.4614,-0.3533,-0.5231,-10.0431,5.31,-1.8619,0.5197,-0.1233,-0.5538,-9.6289,-0.333,4.5301,-0.867663,0,1698647670,26
